,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,116.44810716576899,120.1084552792031,3.660348113434111
for,32.72587798568348,33.67971446139194,0.9538364757084552
with,26.33936405484879,27.20903886141045,0.8696748065616586
but,25.69663912968841,26.04664960993259,0.35001048024418013
as,22.890553312552274,23.467120941334258,0.5765676287819841
or,12.753014973408636,13.18865722550494,0.435642252096305
when,10.848463241074848,11.062208757860322,0.21374551678547427
so,8.84109696506886,9.039622398309755,0.1985254332408949
if,7.9526438293384585,8.081914583240478,0.12927075390201848
after,6.953280257780463,6.815477448615565,0.13780280916489884
because,6.593149881104413,6.755115156567766,0.1619652754633528
then,5.928984113226465,6.184399712437096,0.2554155992106304
before,4.317127950286466,4.357240137797263,0.040112187510798036
still,3.8473634302511863,4.089503953989936,0.24214052373874928
also,3.5103160157337028,3.5814825289177694,0.07116651318406647
since,0.0,0.26114981454653086,0.26114981454653086
while,0.0,0.2429145271597261,0.2429145271597261
