,Spotify,TED,NYTimes,Gigaword
and,162.04960460100648,67.08270297528996,13.786490829667967,9.097679079882655
for,48.50934579439252,13.069591527987898,5.14418443484737,3.735365306728565
but,38.018332135154566,11.818456883509834,2.4452754764078293,1.5259279938895387
with,37.41984184040259,11.193141704488148,3.738911480455989,2.6169342119905954
as,32.809130122214235,8.044377206253152,2.8106617706495487,1.9478224090005156
so,24.942487419122934,14.884518406454866,0.7172480058286602,0.3884256054084427
or,17.446800862688715,6.246091780131114,1.4594990025101608,0.8807326963847889
when,15.87095614665708,6.028240040342915,1.1304620786804465,0.697649025778179
if,14.29547088425593,6.741805345436208,0.8113612529895056,0.5291451399586634
after,10.056793673616104,1.3358547655068078,0.8154740798142761,0.8719491615785817
then,9.156721782890008,3.8991427130610186,0.4424904804656893,0.0
because,8.602444284687275,5.390317700453858,0.4876809196522204,0.28641136271972634
also,7.181524083393242,2.594553706505295,0.7977261973919764,0.6988619235659721
before,6.041337167505392,1.286434694906707,0.45531773635012485,0.37069753166490527
still,5.832135154565061,1.1870902672718104,0.0,0.0
while,0.0,0.0,0.3953551785943315,0.3388707615789057
since,0.0,0.0,0.0,0.36814961597476914
