,Spotify,NYTimes,Gigaword
and,0.5966205503780971,0.515410687718466,0.4713603425260128
for,0.1785976131048958,0.19231635302071762,0.19353321379875177
but,0.1399726848996726,0.0914171075531635,0.07905993776591665
with,0.13776921387035385,0.1397799455473689,0.13558611989947644
as,0.12079388480544608,0.10507714646551389,0.10091873211009865
so,0.09183114397863493,0.02681445862592659,0.020124740035736558
or,0.06423415816819432,0.05456365901244312,0.04563168933489656
when,0.05843234616066678,0.042262548505707605,0.03614593138165334
if,0.052631857559162866,0.030332900994031187,0.027415567446033462
after,0.03702625372869647,0.030486659838715596,0.04517660513831305
then,0.03371244504556487,0.016542594171600956,0.0
because,0.03167175295715076,0.018232047682809685,0.014839274594048837
also,0.026440328945801228,0.029823151742432014,0.03620877289449231
before,0.022242485038894904,0.01702214367107985,0.019206229848829855
still,0.021472262733151056,0.0,0.0
while,0.0,0.0147804315840733,0.017557251343706892
since,0.0,0.0,0.019074219651296548
