,Spotify,TED,NYTimes,Gigaword
and,32.28301686827052,37.85658182314908,33.973455274205484,32.65900684910705
for,9.66388059017464,7.375523631727529,12.676592033373888,13.409279450857325
but,7.57389356576735,6.6694745469447225,6.0257869864955085,5.477802895233079
with,7.454664195670793,6.316592295783626,9.213638446858067,9.39431602308902
as,6.536132585923917,4.5396594117111375,6.926192686437332,6.992326816304071
so,4.96896455915925,8.39973590747655,1.7674833536388697,1.3943770049499815
or,3.475697259085063,3.524838357162371,3.596580500225861,3.161669576482175
when,3.1617623891131053,3.401898734177215,2.785748987449946,2.5044326262887138
if,2.8478991283724366,3.8045829159457245,1.9994025731583616,1.8995344415143514
after,2.003483073009908,0.753858938165923,2.0095376350757284,3.1301382902193287
then,1.824173557861691,2.2003915854658045,1.0904102235365458,0.0
because,1.7137521232137076,3.041901921500774,1.2017710755106732,1.0281644993841963
also,1.4306808319274054,1.4641767598579365,1.9658022932011794,2.5087867078968897
before,1.203536350277987,0.7259698570257718,1.1220198774698635,1.3307364569895745
still,1.1618597776676587,0.6699071122848557,0.0,0.0
while,0.0,0.0,0.9742567302547959,1.216484163289518
since,0.0,0.0,0.0,1.3215899048585913
