,Spotify,TED,NYTimes,Gigaword
and,2.6112383651201916,3.226617844742984,2.145899377781069,1.9253253136954842
for,0.7816709279672802,0.6286356300109296,0.8007042774202383,0.7905085811223367
but,0.6126206089402632,0.5684571757894875,0.3806128178778359,0.32292937217455586
with,0.6029766432998882,0.5383800765413664,0.5819702721031177,0.5538170382117089
as,0.5286804587538885,0.386927328391957,0.4374860448034088,0.41221412161313375
so,0.4019187842556266,0.7159319850060809,0.11164132109022723,0.08220180597863144
or,0.2811346308029305,0.3004314123284089,0.22717441588680726,0.1863878622294495
when,0.2557417507023877,0.2899529390419668,0.17595905304815615,0.14764219726939923
if,0.23035466277340064,0.32427479020010486,0.12629026700536972,0.1119820257052302
after,0.16205337578763396,0.06425341605505856,0.12693043807088872,0.18452901869829977
then,0.14754977821195897,0.18754526724715467,0.06887467292706549,0.0
because,0.13861824967294503,0.2592694466638433,0.07590866994125463,0.06061271692839497
also,0.1157217955129437,0.12479570615450218,0.12416793887384961,0.14789888062712803
before,0.09734902733800715,0.06187635498544899,0.07087126515355245,0.07845004590424408
still,0.09397798349254276,0.057097977121029764,0.0,0.0
while,0.0,0.0,0.061537953510431634,0.07171460430845948
since,0.0,0.0,0.0,0.07791083513056132
