,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,94.96690162571652,148.2631137713385,152.95192552112383,53.29621214562199,57.98502389540731,4.688811749785312
for,35.43975426640463,43.365161359545155,44.773980487663955,7.925407093140528,9.334226221259332,1.4088191281188047
but,26.199875251644734,35.57305665874674,36.49240414126503,9.373181407102004,10.292528889620295,0.9193474825182906
with,26.22670013591444,33.6809303599466,34.802907628411994,7.454230224032159,8.576207492497552,1.1219772684653937
as,24.764752915961083,29.998468351564686,30.86130771321372,5.233715435603603,6.096554797252637,0.8628393616490331
so,10.057969012668067,24.225239413294272,24.55406181371449,14.167270400626206,14.496092801046423,0.32882240042021754
or,11.200709082557601,15.987301860178555,16.566068166303925,4.786592777620953,5.365359083746325,0.5787663061253719
when,9.842716106314166,14.740494067976634,15.173307120878901,4.897777961662468,5.330591014564736,0.43281305290226746
if,7.553665538819723,13.484109631266424,13.766325744297268,5.930444092446702,6.212660205477545,0.28221611303084215
after,8.720938908109297,9.241319593801828,9.184844512037522,0.5203806856925317,0.4639056039282261,0.0564750817643056
then,5.2575790698289895,8.714231302424318,9.156721782890008,3.4566522325953293,3.8991427130610186,0.4424904804656893
because,3.212126584233417,8.114763365035055,8.31603292196755,4.902636780801638,5.103906337734132,0.20126955693249404
also,4.5869703768879475,6.383797886001266,6.48266215982727,1.7968275091133186,1.895691782939323,0.09886427382600427
before,4.754902472598685,5.586019431155267,5.670639635840487,0.8311169585565821,0.9157371632418017,0.08462020468521958
still,4.645044887293251,5.832135154565061,5.832135154565061,1.1870902672718104,1.1870902672718104,0.0
while,0.0,0.3953551785943315,0.3388707615789057,0.3953551785943315,0.3388707615789057,0.05648441701542578
since,0.0,0.0,0.36814961597476914,0.0,0.36814961597476914,0.36814961597476914
