,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.08120986265963115,0.12526020785208436,0.04405034519245321
for,0.013718739915821815,0.014935600693855966,0.0012168607780341512
but,0.0485555773465091,0.060912747133755954,0.012357169787246852
with,0.002010731677015043,0.0021830939708774033,0.004193825647892446
as,0.015716738339932187,0.019875152695347426,0.004158414355415238
so,0.06501668535270834,0.07170640394289837,0.006689718590190033
or,0.009670499155751196,0.01860246883329776,0.008931969677546565
when,0.016169797654959177,0.02228641477901344,0.006116617124054265
if,0.02229895656513168,0.025216290113129404,0.0029173335479977247
after,0.006539593889980877,0.008150351409616577,0.014689945299597454
then,0.017169850873963916,0.03371244504556487,0.016542594171600956
because,0.013439705274341074,0.01683247836310192,0.0033927730887608476
also,0.0033828227966307862,0.009768443948691079,0.0063856211520602925
before,0.005220341367815053,0.0030362551900650486,0.002184086177750004
still,0.021472262733151056,0.021472262733151056,0.0
while,0.0147804315840733,0.017557251343706892,0.002776819759633592
since,0.0,0.019074219651296548,0.019074219651296548
