,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.004653389873391225,0.0068591305142470735,0.0022057406408558487
for,0.00019033349452958134,8.83765315505651e-05,0.00010195696297901624
but,0.0023200779106242724,0.0028969123676570725,0.0005768344570328001
with,0.0002100637119677052,0.0004915960508817931,0.0002815323389140879
as,0.0009119441395047971,0.0011646633714075478,0.0002527192319027507
so,0.0029027746316539933,0.0031971697827699514,0.000294395151115958
or,0.0005396021491612325,0.0009474676857348103,0.00040786553657357776
when,0.0007978269765423151,0.0010809955343298843,0.00028316855778756926
if,0.0010406439576803091,0.0011837263706817043,0.00014308241300139512
after,0.00035122937716745265,0.00022475642910665798,0.0005759858062741106
then,0.0007867510528489348,0.0014754977821195897,0.0006887467292706549
because,0.0006270957973169039,0.0007800553274455005,0.00015295953012859655
also,8.446143360905912e-05,0.0003217708511418433,0.00023730941753278417
before,0.000264777621844547,0.00018898981433763072,7.578780750691627e-05
still,0.0009397798349254275,0.0009397798349254275,0.0
while,0.0006153795351043163,0.0007171460430845947,0.00010176650798027838
since,0.0,0.0007791083513056132,0.0007791083513056132
