,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,5.57,1.69,0.38,3.88,5.2,1.31
for,2.29,3.01,3.75,5.3,6.03,0.73
but,0.9,1.55,2.1,0.64,1.19,0.55
with,1.14,1.76,1.94,2.9,3.08,0.18
as,2.0,0.39,0.46,2.39,2.45,0.07
so,3.43,3.2,3.57,6.63,7.01,0.37
or,0.05,0.12,0.31,0.07,0.36,0.43
when,0.24,0.38,0.66,0.62,0.9,0.28
if,0.96,0.85,0.95,1.81,1.91,0.1
after,1.25,0.01,1.13,1.26,2.38,1.12
then,0.38,0.73,1.82,1.11,2.2,1.09
because,1.33,0.51,0.69,1.84,2.01,0.17
also,0.03,0.54,1.08,0.5,1.04,0.54
before,0.48,0.08,0.13,0.4,0.6,0.21
still,0.49,1.16,1.16,0.67,0.67,0.0
while,0.0,0.97,1.22,0.97,1.22,0.24
since,0.0,0.0,1.32,0.0,1.32,1.32
