,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.62,0.47,0.69,1.08,1.3,0.22
for,0.15,0.02,0.01,0.17,0.16,0.01
but,0.04,0.23,0.29,0.19,0.25,0.06
with,0.06,0.02,0.05,0.04,0.02,0.03
as,0.14,0.09,0.12,0.05,0.03,0.03
so,0.31,0.29,0.32,0.6,0.63,0.03
or,0.02,0.05,0.09,0.07,0.11,0.04
when,0.03,0.08,0.11,0.11,0.14,0.03
if,0.09,0.1,0.12,0.2,0.21,0.01
after,0.1,0.04,0.02,0.06,0.12,0.06
then,0.04,0.08,0.15,0.12,0.19,0.07
because,0.12,0.06,0.08,0.18,0.2,0.02
also,0.01,0.01,0.03,0.0,0.02,0.02
before,0.04,0.03,0.02,0.01,0.02,0.01
still,0.04,0.09,0.09,0.06,0.06,0.0
while,0.0,0.06,0.07,0.06,0.07,0.01
since,0.0,0.0,0.08,0.0,0.08,0.08
