,Spotify → TED,Spotify → NYTimes,Spotify → Gigaword,TED → NYTimes,TED → Gigaword,NYTimes → Gigaword
as,-5.95,16.75,9.36,24.14,16.28,-6.33
when,45.69,-2.93,-19.03,-33.37,-44.42,-16.59
after,-49.05,10.51,59.71,116.9,213.46,44.52
then,63.33,-34.14,-51.07,-59.68,-70.05,-25.71
before,-18.32,2.71,13.03,25.76,38.38,10.04
next,-17.36,-20.22,-13.04,-3.46,5.23,9.0
later,-36.59,-29.4,-22.1,11.35,22.85,10.33
once,-21.78,-14.86,-36.65,8.84,-19.01,-25.59
until,-24.46,26.72,11.28,67.76,47.32,-12.19
eventually,-44.57,-54.45,-64.32,-17.82,-35.62,-21.66
at the time,-37.37,-54.26,-57.58,-26.97,-32.27,-7.26
upon,-22.42,-30.04,-41.68,-9.82,-24.83,-16.64
earlier,-19.57,102.51,261.87,151.79,349.92,78.69
ultimately,-14.09,-36.2,-54.44,-25.74,-46.97,-28.59
meanwhile,-75.02,-5.9,132.34,276.72,830.12,146.9
at the same time,183.61,68.28,41.56,-40.66,-50.09,-15.88
previously,-52.05,56.14,95.59,225.62,307.9,25.27
