Marker,Spotify,TED,NYTimes,Gigaword
for,46.68,30.58,63.96,66.19
so,24.0,34.83,8.92,6.88
if,13.76,15.77,10.09,9.38
because,8.28,12.61,6.06,5.08
since,1.99,1.17,4.52,6.52
given,1.22,0.8,1.59,1.54
whatever,1.21,0.76,0.52,0.38
because of,0.47,0.7,1.49,1.56
now that,0.39,0.41,0.24,0.19
after all,0.36,0.17,0.29,0.18
so that,0.35,1.04,0.43,0.36
thus,0.26,0.07,0.46,0.27
therefore,0.24,0.34,0.21,0.22
as long as,0.22,0.14,0.27,0.27
in case,0.12,0.09,0.08,0.12
as a result,0.11,0.11,0.24,0.17
in this way,0.04,0.09,0.02,0.02
in response to,0.05,0.05,0.16,0.22
as a result of,0.07,0.06,0.17,0.2
