Marker,Spotify,TED,NYTimes,Gigaword
but,63.15,73.43,58.79,55.01
still,9.69,7.38,9.18,9.77
while,7.93,4.1,9.51,12.22
though,3.96,1.77,3.82,2.87
however,3.67,1.03,3.2,4.91
yet,2.96,3.76,4.01,3.64
despite,2.09,0.86,2.15,3.46
although,1.74,0.93,3.77,3.44
even though,1.23,1.25,1.05,0.97
even if,0.97,0.98,1.0,0.9
instead of,0.71,1.44,1.12,0.97
regardless,0.38,0.25,0.25,0.27
by the way,0.3,1.13,0.09,0.08
on the other hand,0.26,0.42,0.17,0.12
nevertheless,0.22,0.11,0.33,0.27
whereas,0.13,0.39,0.11,0.1
nonetheless,0.06,0.16,0.36,0.23
in contrast,0.03,0.12,0.24,0.17
