,Spotify → TED,Spotify → NYTimes,Spotify → Gigaword,TED → NYTimes,TED → Gigaword,NYTimes → Gigaword
but,16.28,-6.9,-12.89,-19.93,-25.08,-6.43
still,-23.86,-5.2,0.8,24.51,32.4,6.34
while,-48.33,19.84,54.02,131.95,198.1,28.52
though,-55.33,-3.51,-27.34,115.98,62.64,-24.7
however,-71.91,-12.89,33.89,210.09,376.62,53.7
yet,27.06,35.57,23.11,6.7,-3.11,-9.2
despite,-58.54,3.32,65.78,149.19,299.8,60.44
although,-46.55,116.44,97.7,304.94,269.88,-8.66
even though,1.4,-15.02,-21.0,-16.19,-22.09,-7.04
even if,0.82,2.96,-7.2,2.12,-7.95,-9.87
instead of,103.36,58.43,36.92,-22.1,-32.67,-13.58
regardless,-35.63,-35.04,-30.69,0.91,7.67,6.71
by the way,281.17,-68.61,-74.69,-91.76,-93.36,-19.37
on the other hand,63.23,-33.51,-55.41,-59.27,-72.68,-32.94
nevertheless,-51.38,50.49,25.17,209.54,157.46,-16.82
whereas,198.16,-16.21,-23.97,-71.9,-74.5,-9.27
nonetheless,157.24,495.05,281.39,131.32,48.26,-35.91
in contrast,243.81,607.26,392.72,105.71,43.31,-30.33
