Marker,Spotify,TED,NYTimes,Gigaword
and,66.95,71.83,64.58,63.89
with,15.46,11.99,17.51,18.38
or,7.21,6.69,6.84,6.19
also,2.97,2.78,3.74,4.91
finally,1.05,0.39,0.31,0.26
without,0.97,0.76,1.05,1.04
else,0.62,0.63,0.33,0.24
instead,0.54,0.33,0.28,0.25
in fact,0.47,0.94,0.26,0.16
further,0.38,0.21,0.33,0.64
as well,0.31,0.32,0.56,0.62
rather,0.24,0.3,0.24,0.15
particularly,0.21,0.22,0.35,0.3
anyway,0.19,0.16,0.08,0.06
essentially,0.16,0.19,0.09,0.06
for example,0.11,0.29,0.32,0.17
rather than,0.13,0.14,0.3,0.23
indeed,0.13,0.19,0.26,0.13
overall,0.07,0.06,0.14,0.29
unless,0.1,0.1,0.17,0.2
much as,0.12,0.11,0.18,0.18
