,Spotify → TED,Spotify → NYTimes,Spotify → Gigaword,TED → NYTimes,TED → Gigaword,NYTimes → Gigaword
and,7.29,-3.54,-4.57,-10.09,-11.05,-1.06
with,-22.48,13.29,18.88,46.13,53.35,4.94
or,-7.21,-5.15,-14.19,2.22,-7.52,-9.52
also,-6.37,25.94,65.42,34.5,76.67,31.35
finally,-62.44,-70.63,-75.44,-21.8,-34.63,-16.4
without,-21.92,8.23,7.76,38.62,38.01,-0.44
else,2.06,-46.7,-60.87,-47.78,-61.66,-26.59
instead,-37.71,-46.98,-53.33,-14.89,-25.08,-11.97
in fact,101.59,-44.71,-65.79,-72.57,-83.03,-38.13
further,-45.11,-11.9,70.21,60.51,210.09,93.2
as well,2.11,81.63,101.84,77.87,97.66,11.13
rather,27.24,0.94,-39.1,-20.66,-52.14,-39.67
particularly,2.48,62.72,41.59,58.78,38.16,-12.98
anyway,-14.52,-58.57,-66.64,-51.54,-60.98,-19.48
essentially,20.08,-46.17,-63.87,-55.17,-69.91,-32.88
for example,162.19,196.72,59.64,13.17,-39.11,-46.2
rather than,11.84,129.16,82.28,104.9,62.97,-20.46
indeed,46.02,95.69,-1.71,34.02,-32.69,-49.78
overall,-12.4,94.11,312.29,121.58,370.63,112.4
unless,0.63,73.34,107.01,72.26,105.72,19.43
much as,-12.82,42.31,43.54,63.25,64.66,0.86
