Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",0.1699319772193965,1.3850266720695639,0.16777717439133816,no,no
"News, Science/Education",-0.004401724351480626,-0.03880551617102773,0.9690873813163412,no,no
"News, Documentary",0.8637553032891299,7.40915355516695,3.9954214530032907e-11,yes,yes
"News, Presentation",0.06247566927731651,0.6746464376623992,0.5012969437264897,no,no
"Discussion, Science/Education",-0.16298906526811818,-1.8465488316201433,0.065400466090224,no,no
"Discussion, Documentary",0.6891836863182669,8.863884421029365,1.5946049494132997e-16,yes,yes
"Discussion, Presentation",-0.08540686864456278,-1.3510084541489085,0.17768281503455322,no,no
"Science/Education, Documentary",0.7982204156845939,11.21590789104551,6.658195923960932e-25,yes,yes
"Science/Education, Presentation",0.06318928573623088,1.0500179678649864,0.2943367284937208,no,no
"Documentary, Presentation",-0.6665049992904772,-21.22819682382894,1.3824378911602207e-93,yes,yes
