Data,Effectsize,T-Statistic,P-Value
"News, Discussion",-0.01499282178932688,-0.021203051912708926,0.9837752301159806
"News, Science/Education",-0.2729419176718899,-0.3859981617117075,0.7148291321917144
"News, Documentary",0.23475036342015954,0.33198714772080246,0.7522880034115182
"News, Presentation",-0.44088327606726463,-0.6235031084378071,0.566146022114489
"Discussion, Science/Education",-0.2544330127496005,-0.3598226173459317,0.7325927890322057
"Discussion, Documentary",0.24083063904832333,0.3405859559771184,0.7457023520398235
"Discussion, Presentation",-0.42656728860184195,-0.603257244805443,0.5771112529421044
"Science/Education, Documentary",0.4362643653110563,0.6169709822029863,0.5601002484586673
"Science/Education, Presentation",-0.22251269543240534,-0.3146804716807015,0.765297881392636
"Documentary, Presentation",-0.5604653426447634,-0.7926176888083081,0.4645943248386956
