Data,Effectsize,T-Statistic,P-Value
"News, Discussion",-0.6892830956510972,-0.9747935021842933,0.3741109059488858
"News, Science/Education",-0.041340031155129645,-0.05846363272851063,0.9552980647876822
"News, Documentary",-0.2411223643975454,-0.34099851792247593,0.7454959833577693
"News, Presentation",0.6165323166537824,0.8719083638530827,0.4272818887991408
"Discussion, Science/Education",0.6781320230995542,0.9590235041468946,0.38395589290448207
"Discussion, Documentary",0.43720834997521196,0.6183059781177078,0.559958774936095
"Discussion, Presentation",1.1869824444666985,1.6786466712635741,0.17586070725971611
"Science/Education, Documentary",-0.21498897365099334,-0.3040403222979065,0.7726245182749631
"Science/Education, Presentation",0.7220909837766829,1.0211908625243156,0.355910322177035
"Documentary, Presentation",0.776243234064607,1.09777370931452,0.33508655660799613
