,News,Discussion,Science/Education,Documentary,Presentation
and,20.20618556701031,38.69090909090909,22.376712328767123,26.721122871606074,10.233484619263741
for,7.103092783505154,10.745454545454546,7.791095890410959,8.573861021629083,2.238527483610691
so,6.412371134020619,12.186363636363636,6.818493150684931,1.9157846295444088,2.1563287947554213
but,4.731958762886598,9.881818181818181,4.537671232876712,5.063046479521399,1.8265254664649522
with,3.9381443298969074,7.277272727272727,4.2020547945205475,5.992636907501151,1.7201210287443267
if,3.5051546391752577,4.9818181818181815,3.1198630136986303,2.3230556833870226,1.1482602118003025
as,2.4948453608247423,4.9,2.952054794520548,5.300966405890474,1.2349974785678266
or,2.2268041237113403,4.613636363636363,2.8116438356164384,3.016106764841233,0.9611699445284921
because,1.8350515463917525,6.2272727272727275,1.4691780821917808,0.0,0.8688855269793243
when,1.3195876288659794,4.0,1.7294520547945205,1.6318453750575241,0.8149268784669692
then,1.2577319587628866,2.6136363636363638,1.0171232876712328,0.946617579383341,0.5007564296520424
next,1.0618556701030928,1.5636363636363637,1.5650684931506849,1.6378278877128394,0.2188603126575895
also,0.9587628865979382,1.459090909090909,1.0890410958904109,0.9576622181316152,0.3983862834089763
still,0.5979381443298969,1.4545454545454546,0.6095890410958904,0.9631845375057524,0.2087745839636914
once,0.4948453608247423,0.0,0.0,0.0,0.0
before,0.0,0.8636363636363636,0.0,0.7510354348826507,0.18608169440242056
after,0.0,0.0,0.5513698630136986,1.5075931891394385,0.0
