,News,Discussion,Science/Education,Documentary
and,8.907216494845361,17.927272727272726,10.684931506849315,13.801196502531063
for,4.515463917525773,8.695454545454545,4.921232876712328,6.760239300506212
with,2.8350515463917527,6.0227272727272725,3.1027397260273974,4.302346985734008
or,2.6082474226804124,3.459090909090909,2.5342465753424657,1.9981592268752877
as,2.2783505154639174,3.3181818181818183,1.952054794520548,3.6382880809940175
so,1.6082474226804124,3.559090909090909,1.202054794520548,0.728025770823746
but,0.979381443298969,2.290909090909091,0.9965753424657534,1.2360791532443627
next,0.7010309278350515,0.740909090909091,0.6404109589041096,0.9337321675103544
then,0.7010309278350515,1.2636363636363637,0.6404109589041096,0.0
if,0.5463917525773195,0.7090909090909091,0.0,0.0
yet,0.41237113402061853,0.0,0.363013698630137,0.5236999539806719
before,0.3711340206185567,0.0,0.0,0.6258628624022089
when,0.36082474226804123,1.2636363636363637,0.4897260273972603,0.7050161067648413
because,0.31958762886597936,1.3363636363636364,0.0,0.0
also,0.28865979381443296,0.0,0.0,0.0
though,0.0,0.8909090909090909,0.4897260273972603,0.9291302346985734
else,0.0,0.8681818181818182,0.0,0.0
still,0.0,0.7227272727272728,0.3561643835616438,0.0
later,0.0,0.0,0.5445205479452054,0.9088817303267372
after,0.0,0.0,0.523972602739726,1.0069028992176714
instead,0.0,0.0,0.0,0.48918545789231477
