,News,Discussion,Science/Education,Documentary
and,0.0018815331010452962,0.0018360078188608838,0.002131083492026196,0.0022731236516355764
for,0.0009538327526132404,0.0008905382752233445,0.0009815278775774498,0.001113444029427363
with,0.0005988675958188153,0.0006168129716000687,0.00061883386018453,0.0007086173064068358
or,0.0005509581881533101,0.0003542601293491715,0.0005054492897754439,0.0003291064653351675
as,0.0004812717770034843,0.0003398290334098492,0.00038933256104324733,0.0005992436008613161
so,0.0003397212543554007,0.0003645015522738519,0.00023974689285294703,0.00011990935701525448
but,0.0002068815331010453,0.00023462168881995067,0.00019876451800628943,0.00020358820034321968
next,0.0001480836236933798,7.587963348740467e-05,0.00012772840160541623,0.0001537901930366317
then,0.0001480836236933798,0.00012941434423005216,0.00012772840160541623,0.0
if,0.00011541811846689895,7.262099892046092e-05,0.0,0.0
yet,8.710801393728223e-05,0.0,7.240219556242845e-05,8.625590915509457e-05
before,7.839721254355401e-05,0.0,0.0,0.00010308263308517452
when,7.621951219512195e-05,0.00012941434423005216,9.767466005120064e-05,0.00011611955432829953
because,6.750871080139373e-05,0.00013686265181163789,0.0,0.0
also,6.097560975609756e-05,0.0,0.0,0.0
though,0.0,9.124176787442526e-05,9.767466005120064e-05,0.00015303223249924072
else,0.0,8.891417175517972e-05,0.0,0.0
still,0.0,7.401755659200825e-05,7.10361164008732e-05,0.0
later,0.0,0.0,0.00010860329334364267,0.00014969720613472036
after,0.0,0.0,0.00010450505585897691,0.00016584176558114843
instead,0.0,0.0,0.0,8.057120512466215e-05
