,News,Discussion,Science/Education,Documentary
and,96.09278350515464,214.65,107.55479452054794,122.85181776346066
for,28.536082474226806,46.404545454545456,27.455479452054796,37.17395306028532
with,20.65979381443299,39.15,20.78767123287671,29.840773124712378
but,19.52577319587629,49.04545454545455,19.763698630136986,25.993557294063507
so,13.835051546391753,35.44090909090909,12.465753424657533,6.007823285780027
or,13.536082474226804,23.118181818181817,15.373287671232877,12.778186838472159
as,13.525773195876289,23.272727272727273,14.66095890410959,27.063966866083756
if,10.907216494845361,19.304545454545455,9.034246575342467,7.049700874367234
because,10.505154639175258,35.08181818181818,10.321917808219178,0.0
then,7.216494845360825,16.09090909090909,7.763698630136986,4.923147722043258
when,6.979381443298969,24.490909090909092,9.818493150684931,10.704555913483663
also,4.082474226804123,6.031818181818182,3.6986301369863015,3.7510354348826507
next,2.814432989690722,0.0,0.0,0.0
still,2.731958762886598,6.8,2.75,4.055683387022549
before,2.3092783505154637,5.55,2.506849315068493,4.93971468016567
after,0.0,4.681818181818182,3.48972602739726,8.531063046479522
while,0.0,0.0,0.0,4.069949378739071
