,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,22.483364573570757,2.7981217342183307,5.648417077440566,8.820364853834917,19.685242839352426,16.83494749613019,31.303729427405674,2.8502953432222355,11.618486588053248,14.468781931275483
so,6.128444236176195,1.4950925010591725,5.664111091606928,5.616934666313146,7.6235367372353675,11.792555327783123,11.74537890248934,4.169018590547756,4.121842165253973,0.0471764252937823
for,3.3022024367385194,0.007308289789578204,1.9122074570288596,3.912878019869925,3.2948941469489412,1.3899949797096598,7.215080456608444,1.9048991672392814,3.920186309659503,5.825085476898785
with,2.9465323336457354,0.7216494845360826,0.07737889088674965,2.9626984003202477,3.668181818181818,3.023911224532485,5.909230733965983,0.6442705936493329,2.241048915784165,2.885319509433498
but,6.826897844423618,0.11774466883208579,1.2709969114863298,1.8404427322966868,6.709153175591531,5.555900932937288,8.667340576720305,1.153252242654244,1.9581874011287725,3.1114396437830165
if,1.2781162136832238,0.6596172856941112,0.6860200871995104,1.7635676445664437,1.937733499377335,1.9641363008827342,3.0416838582496677,0.026402801505399198,1.1039503588723325,1.0775475573669333
as,2.244376757263355,0.43397825165937043,2.862008435295402,1.0070444135980576,1.8103985056039846,0.6176316780320468,3.2514211708614127,2.4280301836360314,1.441022665257428,3.8690528488934595
or,1.7268509840674788,0.45480864284705547,0.39731285077877,1.2447920728252,1.2720423412204234,1.3295381332887088,2.971643056892679,0.05749579206828548,1.6996007156722555,1.64210492360397
because,4.391518275538894,0.05652450218895644,1.4948453608247423,0.7429542866946364,4.334993773349938,5.886363636363637,5.1344725622335305,1.5513698630136987,0.7994787888835928,0.7518910741301059
then,2.0667760074976567,0.1358918231888151,0.4410786550969964,0.8122754755629032,1.9308841843088418,2.5078546625946534,2.87905148306056,0.5769704782858115,0.9481672987517183,0.37119682046590685
also,0.21743205248359887,0.3877983335687051,0.005175988348095961,0.8785657469937771,0.605230386052304,0.22260804083169483,1.095997799477376,0.3826223452206091,0.49076741342507196,0.8733897586456811
when,4.048781630740394,0.9725674339782517,1.0831099577286376,0.004257841134176488,3.0762141967621424,2.9656716730117565,4.053039471874571,0.11054252375038587,0.9768252751124282,1.087367798862814
before,0.45351452671040304,0.03664736619121589,0.25433032389067334,0.47763203726520786,0.49016189290161893,0.1991842028197297,0.9311465639756109,0.29097769008188923,0.440984671073992,0.7319623611558812
after,0.5203373945641987,0.10807089394153369,0.8259141004170205,0.22090865137171106,0.412266500622665,0.3055767058528218,0.7412460459359098,0.7178432064754868,0.32897954531324475,1.0468227517887316
as well,0.4329896907216495,0.4329896907216495,0.4329896907216495,0.4329896907216495,0.0,0.0,0.0,0.0,0.0,0.0
still,1.2863636363636364,0.3972602739726027,0.6134376438104003,0.17498739283913262,0.8891033623910336,0.672925992553236,1.1113762435245038,0.21617736983779762,0.2222728811334701,0.4384502509712677
while,0.0,0.0,0.6948918545789231,0.0,0.0,0.6948918545789231,0.0,0.6948918545789231,0.0,0.6948918545789231
