,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,108.72239925023429,9.725886174269178,17.88927370114004,39.32010751178834,98.99651307596511,90.83312554909425,148.04250676202264,8.163387526870864,49.04599368605752,57.209381212928385
so,33.45417057169635,0.08431012568846086,21.998216158002855,21.840442732296687,33.53848069738481,55.45238672969921,55.29461330399304,21.913906032314394,21.756132606608226,0.1577734257061696
for,17.236129334582944,1.2290636915689888,9.160341776535834,15.008635255340497,18.465193026151933,8.07578755804711,32.24476458992344,10.389405468104822,13.779571563771508,24.16897703187633
but,29.49390815370197,0.5686696794238095,5.317068426471078,12.837728943441936,30.06257783312578,24.17683972723089,42.331637097143904,5.885738105894887,12.269059264018127,18.154797369913013
with,17.509559512652295,1.4101821776585233,10.251336695432702,9.512734532183352,16.099377334993772,7.258222817219593,27.022294044835647,8.841154517774179,10.922916709841875,19.764071227616054
as,8.256794751640113,0.6428470555006349,11.699375180874936,7.750586167994968,7.613947696139478,3.442580429234823,16.007380919635082,11.056528125374301,8.393433223495602,19.449961348869905
or,6.961293345829429,0.8566233582827287,2.3602269654285735,8.532141761675271,6.1046699875467,9.321520311258002,15.4934351075047,3.216850323711302,9.388765119958,6.171914796246698
if,8.281021555763822,1.54730970201949,4.831460141094312,8.065567634168787,9.828331257783312,13.112481696858133,16.346589189932608,3.284150439074822,6.518257932149296,3.2341074930744735
because,21.70801312089972,0.12233441604293027,9.278350515463918,5.50880941611949,21.58567870485679,30.986363636363638,27.216822537019212,9.400684931506849,5.6311438321624205,3.7695410993444276
then,8.625585754451734,0.7952619686484956,2.101958905214417,4.892431024533275,7.830323785803239,10.727544659666151,13.518016778985011,2.8972208738629126,5.687692993181771,2.790472119318858
when,17.214573570759136,2.8032410676458124,3.411555121192137,3.2463465227630737,14.411332503113325,13.803018449567,20.460920093522212,0.6083140535463247,6.049587590408886,6.657901643955211
also,1.676663542642924,0.2996751871204628,0.45388815879989153,2.6675348711470175,1.9763387297633868,1.2227753838430324,4.344198413789941,0.7535633459203543,2.3678596840265547,3.121423029946909
still,4.213495782567947,0.20297274396271714,1.4834116927047507,1.9286304724176118,4.01052303860523,2.7300840898631966,6.142126254985559,1.2804389487420336,2.131603216380329,3.4120421651223625
next,2.577319587628866,2.577319587628866,2.577319587628866,2.577319587628866,0.0,0.0,0.0,0.0,0.0,0.0
before,3.09058106841612,0.25328343454314384,2.6646993799251355,1.1642830034676188,2.8372976338729763,0.4258816884909846,4.254864071883739,2.4114159453819917,1.4175664380107627,3.8289823833927543
after,4.4409090909090905,3.671232876712329,8.710998619420156,0.9606656580937972,0.7696762141967617,4.270089528511066,3.480243432815293,5.039765742707827,2.7105672186185314,7.750332961326359
while,0.0,0.0,3.985734008283479,0.0,0.0,3.985734008283479,0.0,3.985734008283479,0.0,3.985734008283479
