,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
and,9.020056232427365,1.777715012003954,4.893980007685702,7.242341220423411,4.126076224741663,3.116264995681748
for,4.179990627928772,0.4057689591865552,2.244775382980439,3.774221668742217,1.935215244948333,1.839006423793884
with,3.1876757263355198,0.26768817963564473,1.4672954393422555,2.919987546699875,1.7203802869932643,1.1996072597066108
or,0.8508434864104966,0.07400084733794676,0.6100881958051247,0.9248443337484433,1.4609316822156213,0.536087348467178
as,1.039831302717901,0.32629572094336945,1.3599375655301,1.3661270236612704,0.3201062628121991,1.6862332864734695
so,1.9508434864104967,0.40619262815986446,0.8802216518566665,2.357036114570361,2.831065138267163,0.474029023696802
but,1.3115276476101219,0.017193899166784377,0.25669770994539365,1.2943337484433375,1.0548299376647283,0.23950381077860927
next,0.03987816307403946,0.0606199689309419,0.23270123967530287,0.10049813200498137,0.1928230766012634,0.2933212086062448
then,0.5626054358013122,0.0606199689309419,0.7010309278350515,0.6232254047322541,1.2636363636363637,0.6404109589041096
if,0.16269915651358957,0.5463917525773195,0.5463917525773195,0.7090909090909091,0.7090909090909091,0.0
yet,0.41237113402061853,0.04935743539048154,0.1113288199600534,0.363013698630137,0.5236999539806719,0.16068625535053493
before,0.3711340206185567,0.3711340206185567,0.2547288417836522,0.0,0.6258628624022089,0.6258628624022089
when,0.9028116213683224,0.12890128512921906,0.34419136449680005,0.7739103362391033,0.5586202568715224,0.215290079367581
because,1.016776007497657,0.31958762886597936,0.31958762886597936,1.3363636363636364,1.3363636363636364,0.0
also,0.28865979381443296,0.28865979381443296,0.28865979381443296,0.0,0.0,0.0
though,0.8909090909090909,0.4897260273972603,0.9291302346985734,0.4011830635118306,0.03822114378948249,0.4394042073013131
else,0.8681818181818182,0.0,0.0,0.8681818181818182,0.8681818181818182,0.0
still,0.7227272727272728,0.3561643835616438,0.0,0.36656288916562896,0.7227272727272728,0.3561643835616438
later,0.0,0.5445205479452054,0.9088817303267372,0.5445205479452054,0.9088817303267372,0.3643611823815318
after,0.0,0.523972602739726,1.0069028992176714,0.523972602739726,1.0069028992176714,0.4829302964779454
instead,0.0,0.0,0.48918545789231477,0.0,0.48918545789231477,0.48918545789231477
