,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
and,118.55721649484536,11.462011015393301,26.759034258306016,107.09520547945206,91.79818223653935,15.297023242912715
for,17.86846298031865,1.08060302217201,8.637870586058515,18.94906600249066,9.230592394260135,9.718473608230525
with,18.490206185567008,0.12787741844372036,9.180979310279387,18.362328767123287,9.30922687528762,9.053101891835666
but,29.519681349578256,0.23792543426069557,6.467784098187217,29.28175591531756,23.05189725139104,6.229858663926521
so,21.605857544517335,1.3692981217342197,7.827228260611726,22.975155666251553,29.43308580512906,6.457930138877506
or,9.582099343955013,1.8372051970060728,0.7578956357546449,7.7448941469489405,10.339994979709658,2.5951008327607177
as,9.746954076850985,1.1351857082333012,13.538193670207468,8.611768368617684,3.791239593356483,12.403007961974167
if,8.397328959700094,1.8729699195028946,3.857515620478127,10.270298879202988,12.25484458017822,1.9845457009752323
because,24.57666354264292,0.1832368309560799,10.505154639175258,24.759900373599002,35.08181818181818,10.321917808219178
then,8.874414245548266,0.547203784776161,2.2933471233175666,8.327210460772104,11.167761368865833,2.8405509080937277
when,17.511527647610123,2.839111707385962,3.725174470184694,14.67241594022416,13.786353177425429,0.8860627627987316
also,1.9493439550140588,0.3838440898178219,0.33143879192147274,2.3331880448318807,2.2807827469355315,0.05240529789634918
next,2.814432989690722,2.814432989690722,2.814432989690722,0.0,0.0,0.0
still,4.068041237113402,0.018041237113401998,1.3237246241359513,4.05,2.7443166129774506,1.3056833870225493
before,3.240721649484536,0.19757096455302925,2.6304363296502062,3.043150684931507,0.6102853198343299,2.432865365097177
after,4.681818181818182,3.48972602739726,8.531063046479522,1.1920921544209215,3.8492448646613404,5.0413370190822615
while,0.0,0.0,4.069949378739071,0.0,4.069949378739071,4.069949378739071
