Marker,News,Discussion,Science/Education,<classes.DatasetMarkerScores.DatasetMarkerScores object at 0x119853910>
as,32.27708179808401,25.849901350736076,29.616977225672876,35.73656652679268
then,18.515106853352986,18.70541812111094,16.702898550724637,7.571762783616176
when,17.483419307295506,28.152982243132495,21.112836438923395,14.716940844442794
next,7.221812822402359,4.4050690544847475,5.683229813664596,5.4495153923279736
before,5.766396462785556,5.968280467445743,5.108695652173913,6.467934197333729
after,4.826823876197494,5.156321141296099,7.215320910973085,11.587415054402317
once,3.831982313927782,2.101988162088329,2.6656314699792962,3.267852501021204
eventually,1.8791451731761237,0.6222492032174837,1.1387163561076605,1.7030896060009655
until,1.5475313190862197,1.6277128547579298,2.1842650103519667,2.87283226261651
later,1.2527634487840826,1.6656548793443617,2.7743271221532093,4.329904563853095
earlier,1.105379513633014,0.6222492032174837,0.8592132505175983,0.7724015002413754
whenever,0.976418570375829,0.42495067536803766,0.5072463768115942,0.250659140703331
till,0.46057479734708917,0.41356806799210805,0.07763975155279502,0.08262467971332021
at the same time,0.35003684598378776,0.6526028228866292,0.32091097308488614,0.21723792194288685
upon,0.3316138540899042,0.2693883745636667,0.43995859213250516,0.9334732073229604
at the time,0.2947678703021371,1.0054636515404463,0.9161490683229814,1.1832039808385013
at that point,0.3316138540899042,0.6374260130520565,0.18633540372670807,0.09051580080953618
after that,0.2763448784082535,0.470481104871756,0.31573498964803315,0.24230383601321995
ultimately,0.2210759027266028,0.38321444832296253,0.8592132505175983,0.5974042853429389
meanwhile,0.2579218865143699,0.13279708605251175,0.43478260869565216,0.5282409298525753
