Marker,News,Discussion,Science/Education,<classes.DatasetMarkerScores.DatasetMarkerScores object at 0x119853910>
as,,-19.91,14.57,20.66
then,,1.03,-10.71,-54.67
when,,61.03,-25.01,-30.29
next,,-39.0,29.02,-4.11
before,,3.5,-14.4,26.61
after,,6.83,39.93,60.59
once,,-45.15,26.81,22.59
eventually,,-66.89,83.0,49.56
until,,5.18,34.19,31.52
later,,32.96,66.56,56.07
earlier,,-43.71,38.08,-10.1
whenever,,-56.48,19.37,-50.58
till,,-10.21,-81.23,6.42
at the same time,,86.44,-50.83,-32.31
upon,,-18.76,63.32,112.17
at the time,,241.1,-8.88,29.15
at that point,,92.22,-70.77,-51.42
after that,,70.25,-32.89,-23.26
ultimately,,73.34,124.21,-30.47
meanwhile,,-48.51,227.4,21.5
