Marker,News,Discussion,Science/Education,<classes.DatasetMarkerScores.DatasetMarkerScores object at 0x119853910>
but,,4.05,-9.64,-9.78
still,,13.61,-9.38,4.96
though,,3.41,1.29,0.83
while,,-10.37,122.37,26.53
yet,,-36.74,21.76,18.23
by the way,,-50.32,-36.56,-81.94
even if,,-42.25,42.05,-20.05
however,,-57.86,307.74,145.71
although,,-44.8,82.25,100.67
even though,,84.32,-6.99,-31.54
instead of,,-21.27,89.91,-9.51
on the other hand,,-80.97,328.78,-26.55
whereas,,-60.47,117.5,-60.23
nevertheless,,-30.79,-37.08,92.62
despite,,125.68,209.29,103.9
regardless,,22.35,30.5,52.76
as though,,-17.52,106.51,92.58
