,News,Discussion,Science/Education,Documentary
and,0.520085653104925,0.5470127990592918,0.5969398939046311,0.609723256436023
so,0.19357601713062098,0.1829858441499706,0.19383594674772392,0.05670785046593842
for,0.15310492505353318,0.12145990683370268,0.1549927662248462,0.19400967301171895
but,0.12214132762312634,0.14103387454208313,0.12271113124552456,0.14264800503170116
with,0.1075374732334047,0.09886481841617295,0.11452746642505371,0.14969310960577778
if,0.07862955032119914,0.059626430283569266,0.06970728784579637,0.048025274177107204
as,0.0750321199143469,0.06162543530369499,0.08361951804059682,0.13914533374782212
or,0.0718201284796574,0.05644249468590294,0.08186587557906735,0.06329026987558106
because,0.05237687366167024,0.0857672651621365,0.05300384339972818,0.0
then,0.0430406852248394,0.04459318891049704,0.04715836852796329,0.02948172032127701
when,0.0406423982869379,0.06711591515535253,0.05960923000482252,0.05730247319679301
also,0.027837259100642397,0.018099588440142915,0.026216954799865553,0.0280755911887394
next,0.016788008565310493,0.0,0.016045828522994635,0.02121845246271408
still,0.015289079229122055,0.019275473746099225,0.016820353943503487,0.022747482342054468
before,0.013404710920770878,0.014228212202071367,0.0,0.02518380891102709
after,0.0,0.012292524083035593,0.02037147992810066,0.04511722562408276
