,News,Discussion,Science/Education,Documentary,Presentation
and,30.59404443996574,33.01253357206804,32.34101849505954,32.212431799648996,37.85658182314908
so,11.387111402227037,11.043299779461536,10.501646820369901,2.995945695619709,8.39973590747655
for,9.006398951982668,7.330174465576348,8.397200405371168,10.249770357936066,7.375523631727529
but,7.184964982113166,8.511474550734764,6.648245502913605,7.536270078164239,6.6694745469447225
with,6.325893082077896,5.966548027163351,6.204870787940208,7.908471643740654,6.316592295783626
if,4.625384189046203,3.5984889839945846,3.776602482898404,2.5372344793474917,3.8045829159457245
as,4.413765304580037,3.7191300740223157,4.53033949835318,7.351219633298386,4.5396594117111375
or,4.22481987202096,3.4063366596065245,4.43533063085888,3.343703033184949,3.524838357162371
because,3.0810701869300146,5.176103238203376,2.871643020015201,0.0,3.041901921500774
then,2.531868796291631,2.6912243160032316,2.554946795034203,1.557555653587095,2.2003915854658045
when,2.3907895399808536,4.0504836561346815,3.2295097542437294,3.0273603480246964,3.401898734177215
also,1.6375270821786667,1.0923204576719,1.420382569039777,1.4832681168968815,1.4641767598579365
next,0.9875547941754421,0.0,0.8693311375728401,1.1209970189500058,0.0
still,0.8993802589812062,1.1632858047470358,0.9112933873828224,1.2017775537056876,0.6699071122848557
before,0.7885322718798811,0.8586806996091447,0.0,1.3304916918270342,0.7259698570257718
after,0.0,0.7418608205777671,1.1036863440587787,2.3835986868866263,0.753858938165923
