,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,149.69048734770382,14.694534670244323,30.052628083176373,58.11317331336983,134.9959526774595,119.63785926452746,207.80366066107365,15.35809341293205,72.80770798361415,88.1658013965462
so,45.35660731021556,1.1732806100833173,32.158913754085994,31.71341973787503,46.529887920298876,77.51552106430155,77.0700270480906,30.985633144002676,30.54013912779171,0.4454940162109633
for,24.180693533270855,0.533752294873608,12.543317471688624,23.786078575104888,24.714445828144463,11.63737606158223,47.96677210837574,13.077069766562232,23.25232628023128,36.32939604679351
but,41.47066541705718,0.6452125406016087,6.919153054592211,17.583604972160266,42.11587795765878,34.55151236246496,59.05427038921744,7.56436559519382,16.93839243155866,24.50275802675248
with,23.79522024367385,0.9524431577460817,12.228450382150196,14.693456233656182,22.842777085927768,11.566769861523653,38.48867647733003,11.276007224404115,15.645899391402263,26.92190661580638
if,11.035801312089973,2.5922186131902265,6.699579184082056,12.186029706110183,13.6280199252802,17.735380496172027,23.221831018200156,4.10736057089183,9.593811092919957,5.486450522028128
as,12.906326148078726,1.5340347408558124,17.36750466123607,10.01747846384994,11.372291407222914,4.461178513157343,22.923804611928666,15.833469920380256,11.551513204705753,27.38498312508601
or,11.074976569821931,1.8962717130348814,1.1736114735199088,11.042568013683319,9.17870485678705,12.24858804334184,22.11754458350525,3.06988318655479,12.9388397267182,9.86895654016341
because,30.491752577319588,0.18701454596808276,12.608247422680412,7.217929722226554,30.67876712328767,43.1,37.709682299546145,12.42123287671233,7.030915176258471,5.390317700453858
then,12.048266166822868,0.6905451207456572,2.8541519396909596,6.461682029207023,11.357721046077211,14.902418106513828,18.509948196029892,3.544697060436617,7.15222714995268,3.6075300895160636
when,23.94376757263355,4.185672927552606,4.80692282511232,3.755265114296261,19.758094645080945,19.13684474752123,27.69903268692981,0.6212498975597143,7.940938041848867,8.562187939408581
also,2.394423617619494,0.5571953113966952,0.44761150198547295,4.106477221329756,2.951618929016189,1.946812115634021,6.500900838949251,1.0048068133821682,3.5492819099330615,4.55408872331523
next,4.041237113402062,0.28096314079932183,1.3614320076287711,4.041237113402062,3.76027397260274,5.402669121030833,0.0,1.642395148428093,3.76027397260274,5.402669121030833
still,6.005951265229616,0.2613684507837877,2.111580265773481,2.49332210386221,5.7445828144458275,3.894370999456134,8.499273369091824,1.8502118149896933,2.7546905546459977,4.604902369635691
before,3.92319587628866,3.2268041237113403,3.185529056224232,1.9403694288046334,7.15,0.7376668200644279,5.863565305093293,6.4123331799355725,1.286434694906707,5.125898485028865
after,6.177272727272728,4.773972602739726,11.487804878048781,1.3358547655068078,1.4033001245330015,5.310532150776053,4.84141796176592,6.713832275309055,3.4381178372329186,10.151950112541973
