,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,2.418489132102298,1.7469740550937978,1.6183873596832576,7.262537383183339,0.6715150770085003,0.8001017724190405,4.844048251081041,0.12858669541054013,5.5155633280895415,5.644150023500082
so,0.34381162276550015,0.8854645818571356,8.391165706607328,2.987375494750486,0.5416529590916355,8.047354083841828,2.643563871984986,7.505701124750193,2.1019109128933504,5.403790211856842
for,1.67622448640632,0.6091985466115002,1.2433714059533987,1.6308753202551385,1.0670259397948199,2.9195958923597187,0.045349166151181564,1.8525699525648989,1.0216767736436383,2.874246726208537
but,1.3265095686215984,0.5367194791995606,0.35130509605107285,0.5154904351684433,1.863229047821159,0.9752044725705256,1.8420000037900417,0.8880245752506335,0.02122904403111736,0.8667955312195161
with,0.35934505491454516,0.12102229413768839,1.582578561662758,0.009300786294270225,0.23832276077685677,1.941923616577303,0.35004426862027493,1.7036008558004463,0.11172150784341817,1.5918793479570281
if,1.0268952050516185,0.8487817061477991,2.0881497096987114,0.8208012731004786,0.17811349890381933,1.061254504647093,0.2060939319511399,1.2393680035509123,0.027980433047320563,1.2673484365982328
as,0.6946352305577217,0.11657419377314238,2.9374543287183483,0.12589410713110016,0.8112094243308641,3.63208955927607,0.8205293376888219,2.820880134945206,0.009319913357957788,2.811560221587248
or,0.8184832124144359,0.2105107588379198,0.8811168388360113,0.6999815148585893,1.0289939712523557,0.06263362642157544,0.11850169755584661,1.0916275976739311,0.9104922736965091,0.18113532397742205
because,2.095033051273361,0.20942716691481333,3.0810701869300146,0.039168265429240456,2.3044602181881744,5.176103238203376,2.1342013167026015,2.871643020015201,0.17025890148557288,3.041901921500774
then,0.15935551971160056,0.023077998742571992,0.9743131427045362,0.3314772108258266,0.13627752096902856,1.1336686624161367,0.49083273053742715,0.9973911414471082,0.3545552095683986,0.6428359318787096
when,1.659694116153828,0.8387202142628758,0.6365708080438428,1.0111091941963615,0.8209739018909521,1.023123308109985,0.6485849219574664,0.202149406219033,0.17238897993348568,0.37453838615251867
also,0.5452066245067668,0.2171445131388896,0.15425896528178518,0.17335032232073022,0.3280621113678772,0.39094765922498165,0.3718563021860366,0.06288554785710443,0.043794190818159384,0.019091357038945045
next,0.9875547941754421,0.11822365660260203,0.1334422247745637,0.9875547941754421,0.8693311375728401,1.1209970189500058,0.0,0.2516658813771657,0.8693311375728401,1.1209970189500058
still,0.2639055457658296,0.01191312840161618,0.3023972947244814,0.22947314669635055,0.2519924173642134,0.03849174895865182,0.49337869246218014,0.2904841663228652,0.24138627509796673,0.531870441420832
before,0.07014842772926366,0.7885322718798811,0.5419594199471531,0.0625624148541093,0.8586806996091447,0.47181099221788947,0.13271084258337296,1.3304916918270342,0.7259698570257718,0.6045218348012624
after,0.7418608205777671,1.1036863440587787,2.3835986868866263,0.753858938165923,0.3618255234810116,1.6417378663088593,0.011998117588155832,1.2799123428278476,0.34982740589285577,1.6297397487207035
