Marker,News,Discussion,Science/Education,Documentary,Presentation
so,38.56,38.68,38.79,16.44,34.83
for,30.5,25.67,31.02,56.24,30.58
if,15.66,12.6,13.95,13.92,15.77
because,10.43,18.13,10.61,5.03,12.61
since,1.02,0.99,1.19,2.47,1.17
whatever,1.0,1.89,1.29,1.02,0.76
given,0.61,0.56,0.66,1.54,0.8
because of,0.5,0.27,0.45,0.53,0.7
now that,0.46,0.4,0.36,0.39,0.41
so that,0.39,0.31,0.5,0.34,1.04
therefore,0.21,0.08,0.26,0.29,0.34
insofar as,0.16,0.0,0.01,0.01,0.0
as long as,0.13,0.15,0.15,0.25,0.14
hence,0.12,0.01,0.03,0.05,0.04
after all,0.04,0.05,0.24,0.48,0.17
in case,0.03,0.07,0.08,0.15,0.09
given that,0.04,0.02,0.05,0.08,0.04
thus,0.04,0.02,0.16,0.36,0.07
as a result,0.01,0.02,0.07,0.15,0.11
in this way,0.03,0.02,0.02,0.05,0.09
