,News → Discussion,News → Science/Education,News → Documentary,News → Presentation,Discussion → Science/Education,Discussion → Documentary,Discussion → Presentation,Science/Education → Documentary,Science/Education → Presentation,Documentary → Presentation
so,0.31,0.6,-57.37,-9.68,0.29,-57.5,-9.96,-57.63,-10.22,111.87
for,-15.82,1.7,84.39,0.27,20.81,119.04,19.1,81.3,-1.41,-45.62
if,-19.53,-10.93,-11.12,0.71,10.68,10.45,25.15,-0.21,13.07,13.31
because,73.77,1.67,-51.8,20.88,-41.49,-72.26,-30.43,-52.59,18.9,150.77
since,-2.88,16.56,140.88,14.56,20.01,148.02,17.96,106.66,-1.71,-52.44
whatever,88.88,29.22,2.3,-24.23,-31.59,-45.84,-59.88,-20.83,-41.36,-25.93
given,-7.19,9.12,153.6,32.85,17.58,173.26,43.15,132.4,21.75,-47.61
because of,-45.68,-11.1,4.92,39.95,63.65,93.14,157.63,18.02,57.42,33.39
now that,-12.84,-21.91,-15.96,-10.87,-10.41,-3.58,2.26,7.63,14.14,6.06
so that,-20.58,26.69,-14.29,165.79,59.53,7.92,234.67,-32.35,109.79,210.11
therefore,-61.45,23.41,33.88,57.67,220.15,247.28,309.01,8.48,27.76,17.77
insofar as,-98.82,-96.39,-96.12,-97.82,205.92,228.8,85.13,7.48,-39.48,-43.7
as long as,13.56,14.27,98.56,11.57,0.63,74.86,-1.75,73.76,-2.37,-43.81
hence,-95.2,-75.51,-57.45,-68.39,409.86,785.94,558.24,73.76,29.1,-25.7
after all,21.03,462.22,1028.73,298.33,364.54,832.62,229.12,100.76,-29.15,-64.71
in case,176.42,208.54,485.45,259.6,11.62,111.8,30.09,89.75,16.55,-38.58
given that,-41.73,16.56,76.86,2.35,100.02,203.51,75.64,51.74,-12.19,-42.13
thus,-59.66,270.24,742.55,57.67,817.75,1988.5,290.83,127.57,-57.41,-81.29
as a result,101.71,722.76,1705.47,1213.92,307.89,795.07,551.38,119.44,59.7,-27.23
in this way,-25.29,-20.01,110.84,268.82,7.07,182.22,393.68,163.58,361.08,74.93
