Marker,News,Discussion,Science/Education,Documentary,Presentation
but,71.53248056182593,74.43192667557761,67.2567080496596,60.68196670895322,73.43025441784685
still,8.954100827689992,10.17280886003437,9.219062875450541,9.67670011148272,7.375610978819401
though,3.762227238525207,3.8905862134810008,3.9407288746495794,3.973397916426402,1.7671387391903748
while,3.5364936042136943,3.1697536757685696,7.048458149779735,8.918617614269788,4.098257927058529
yet,3.411086029596188,2.1577238877219784,2.6271525830997198,3.106139238073271,3.759869657851861
by the way,1.9312766491096063,0.9595188084781363,0.6087304765718863,0.10994502748625687,1.131094122070435
even if,1.45472786556308,0.8401756730952835,1.1934321185422507,0.9541383154576558,0.9775661110414839
however,1.053423626787058,0.4439564636242123,1.8101722066479775,4.4477761119440276,1.0308309311943853
although,1.0032605969400552,0.5537521481764369,1.0092110532639167,2.0251412755160882,0.9305677403183357
even though,0.9530975670930524,1.756730952835593,1.633960752903484,1.1186714335140122,1.2501566612357438
instead of,0.5517933283170303,0.4344090127935841,0.8249899879855827,0.7465498020220659,1.4412833688432134
on the other hand,0.45146726862302483,0.085927057475654,0.368442130556668,0.2706339138123246,0.42298533650833436
whereas,0.32605969400551793,0.128890586213481,0.2803364036844213,0.11148272017837235,0.3916530893595689
nevertheless,0.27589666415851516,0.19094901661256444,0.12014417300760913,0.23142275016337985,0.10652964030580273
despite,0.17557060446450964,0.3962192094710712,1.2254705646776132,2.498750624687656,0.8647700213059281
regardless,0.17557060446450964,0.214817643689135,0.2803364036844213,0.4282474147541614,0.24752475247524752
as though,0.07524454477050414,0.062058430399083445,0.12815378454144974,0.24679967708453465,0.1848602581777165
