Marker,News,Discussion,Science/Education,Documentary,Presentation
and,65.44,72.35,67.73,66.03,71.83
with,13.53,13.08,13.0,16.21,11.99
or,9.04,7.47,9.29,6.85,6.69
also,3.5,2.39,2.97,3.04,2.78
indeed,1.06,0.03,0.07,0.12,0.19
anyway,0.68,0.39,0.22,0.13,0.16
in fact,0.62,0.2,0.59,0.49,0.94
without,0.61,0.48,0.75,1.09,0.76
rather,0.59,0.22,0.19,0.23,0.3
else,0.58,0.96,0.65,0.56,0.63
finally,0.46,0.3,0.43,1.27,0.39
further,0.4,0.08,0.29,0.43,0.21
as well,0.4,0.18,0.29,0.33,0.32
specifically,0.26,0.1,0.19,0.15,0.09
overall,0.23,0.06,0.18,0.05,0.06
much as,0.18,0.18,0.09,0.12,0.11
essentially,0.23,0.16,0.31,0.14,0.19
plus,0.17,0.15,0.58,0.11,0.08
in particular,0.08,0.14,0.1,0.08,0.1
instead,0.05,0.11,0.34,0.65,0.33
particularly,0.08,0.12,0.3,0.22,0.22
for example,0.16,0.07,0.28,0.09,0.29
as if,0.07,0.1,0.07,0.16,0.13
