Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-0.6508662341714468,-6.576052355756091,2.4259395904318855e-10,yes,yes
"News, Science/Education",-0.32869086418000204,-3.371549212942682,0.0008348585083494956,yes,yes
"News, Documentary",-0.44029430204199915,-6.436775230983494,1.950161072139023e-09,yes,yes
"News, Presentation",0.03467471470911163,0.3246252513818435,0.746113738088453,no,no
"Discussion, Science/Education",0.4260509066981624,4.591424521668311,6.418420698047459e-06,yes,yes
"Discussion, Documentary",0.3668432576634416,4.2871345759273325,2.6576969367123936e-05,yes,yes
"Discussion, Presentation",0.664976609891376,7.149856265632765,1.2440093789162988e-11,yes,yes
"Science/Education, Documentary",-0.08936256784433211,-1.4372852351719112,0.15147151037062415,no,no
"Science/Education, Presentation",0.3535241573871759,4.630184972315153,5.385315154962917e-06,yes,yes
"Documentary, Presentation",0.46621606160632767,15.241855710149217,1.2195910534882708e-50,yes,yes
