,News,Discussion,Science/Education,Documentary,Presentation
and,18.948453608247423,41.43181818181818,21.746575342465754,24.59687068568799,10.128088754412506
so,7.56701030927835,13.695454545454545,6.071917808219178,1.902899217671422,1.9500756429652042
for,5.865979381443299,9.168181818181818,5.873287671232877,7.778186838472158,1.9531013615733737
with,4.721649484536083,7.668181818181818,4.0,4.644270593649333,1.7589510842158347
but,3.618556701030928,10.445454545454545,3.7363013698630136,4.889553612517258,1.778113968734241
if,2.6082474226804124,3.8863636363636362,1.9486301369863013,1.922227335480902,0.8446797781139688
as,2.2783505154639174,4.5227272727272725,2.712328767123288,5.140358950759319,1.2713061018658598
or,2.195876288659794,3.922727272727273,2.6506849315068495,2.593189139438564,0.951084215834594
because,1.4948453608247423,5.886363636363637,1.5513698630136987,0.0,0.7518910741301059
then,1.3195876288659794,3.3863636363636362,1.4554794520547945,0.878508973768983,0.5073121533030761
also,1.2371134020618557,1.4545454545454546,0.8493150684931506,1.2319374137137598,0.3585476550680787
when,1.0103092783505154,5.0590909090909095,1.9828767123287672,2.093419236079153,1.006051437216339
before,0.7010309278350515,1.1545454545454545,0.6643835616438356,0.9553612517257248,0.22339889056984366
after,0.44329896907216493,0.9636363636363636,0.5513698630136986,1.2692130694891854,0.22239031770045387
as well,0.4329896907216495,0.0,0.0,0.0,0.0
still,0.0,1.2863636363636364,0.3972602739726027,0.6134376438104003,0.17498739283913262
while,0.0,0.0,0.0,0.6948918545789231,0.0
