,News,Discussion,Science/Education,Documentary,Presentation
and,0.004002613240418118,0.004243207725384624,0.004337301337937931,0.004051223276301098,0.004871519849187603
so,0.001598432055749129,0.0014026094214573638,0.0012110291767187325,0.000313416682211174,0.0009379688934877744
for,0.0012391114982578397,0.0009389522745036517,0.00117141288103363,0.00128110490029825,0.0009394242369997803
with,0.0009973867595818816,0.000785330930633446,0.0007977902303482682,0.0007649337743349863,0.0008460396949794045
but,0.0007643728222996516,0.0010697631764052514,0.000745196182628391,0.000805333070977926,0.0008552568705554415
if,0.0005509581881533101,0.00039801893639098774,0.0003886495214624697,0.0003166001164682162,0.0004062833971016349
as,0.0004812717770034843,0.00046319162772986294,0.0005409673479758805,0.0008466419202657349,0.0006114868322944606
or,0.00046385017421602786,0.0004017430901817806,0.0005286726355218833,0.0004271107628198224,0.00045746297727384085
because,0.00031576655052264807,0.0006028473948845955,0.000309416930092265,0.0,0.00036165286273345527
then,0.00027874564459930314,0.0003468118217675858,0.00029029182183049144,0.00014469466658793983,0.0002440125955129819
also,0.0002613240418118467,0.0001489661516317147,0.00016939381603285148,0.0002029060358595678,0.00017245820617269397
when,0.00021341463414634146,0.0005181228961440577,0.000395479917270246,0.000344796248459161,0.0004839017177419472
before,0.0001480836236933798,0.00011824188285767355,0.0001325096786708596,0.00015735260756236935,0.00010745286263643239
after,9.36411149825784e-05,9.869007545601099e-05,0.00010996937250519793,0.00020904551621243482,0.00010696774813243044
as well,9.146341463414634e-05,0.0,0.0,0.0,0.0
still,0.0,0.0001317419403492977,7.923259137020472e-05,0.00010103613963421886,8.41673664443387e-05
while,0.0,0.0,0.0,0.00011445204114603937,0.0
