,News,Discussion,Science/Education,Documentary,Presentation
and,20.21,38.69,22.38,26.72,10.23
for,7.1,10.75,7.79,8.57,2.24
so,6.41,12.19,6.82,1.92,2.16
but,4.73,9.88,4.54,5.06,1.83
with,3.94,7.28,4.2,5.99,1.72
if,3.51,4.98,3.12,2.32,1.15
as,2.49,4.9,2.95,5.3,1.23
or,2.23,4.61,2.81,3.02,0.96
because,1.84,6.23,1.47,0.0,0.87
when,1.32,4.0,1.73,1.63,0.81
then,1.26,2.61,1.02,0.95,0.5
next,1.06,1.56,1.57,1.64,0.22
also,0.96,1.46,1.09,0.96,0.4
still,0.6,1.45,0.61,0.96,0.21
once,0.49,0.0,0.0,0.0,0.0
before,0.0,0.86,0.0,0.75,0.19
after,0.0,0.0,0.55,1.51,0.0
