,News,Discussion,Science/Education,Documentary,Presentation
and,86.04123711340206,194.76363636363635,95.76712328767124,103.9305108145421,46.72112960161372
so,32.618556701030926,66.07272727272728,32.534246575342465,10.620340543028071,10.77811396873424
for,23.88659793814433,41.122727272727275,22.65753424657534,33.046939714680164,8.877962682803833
but,21.051546391752577,50.54545454545455,20.482876712328768,26.368614818223655,8.21381744831064
with,17.22680412371134,34.736363636363635,18.636986301369863,27.47814081914404,7.714069591527988
as,13.288659793814434,21.545454545454547,13.931506849315069,24.98803497468937,5.538073625819465
or,12.8659793814433,19.827272727272728,13.722602739726028,10.505752416014726,4.333837619768028
if,12.814432989690722,21.095454545454544,11.267123287671232,7.98297284859641,4.748865355521937
because,9.278350515463918,30.986363636363638,9.400684931506849,0.0,3.7695410993444276
then,7.783505154639175,16.40909090909091,8.57876712328767,5.681546249424758,2.8910741301059
when,7.453608247422681,24.668181818181818,10.256849315068493,10.865163368614818,4.207261724659607
also,4.505154639175258,6.181818181818182,4.205479452054795,4.959042797975149,1.83761976802824
still,2.731958762886598,6.945454545454545,2.934931506849315,4.215370455591349,0.8033282904689864
next,2.577319587628866,0.0,0.0,0.0,0.0
before,2.0412371134020617,5.131818181818182,2.2945205479452055,4.705936493327197,0.8769541099344428
after,0.0,4.4409090909090905,3.671232876712329,8.710998619420156,0.9606656580937972
while,0.0,0.0,0.0,3.985734008283479,0.0
