,News,Discussion,Science/Education,Documentary,Presentation
and,0.018175087108013938,0.0199465677034866,0.01910051883686556,0.01711785657249184,0.02247244428338643
so,0.0068902439024390244,0.006766787437870641,0.006488876017387455,0.0017492213281909248,0.005184176147016861
for,0.005045731707317073,0.004211552418162884,0.004518989866424779,0.005442990415058432,0.004270220421477183
but,0.004446864111498258,0.005176573769202086,0.004085259732630986,0.004343038083196629,0.003950772520591898
with,0.003638937282229965,0.0035574979086548868,0.0037171013985918457,0.004525782368761597,0.0037103982838589305
as,0.00280705574912892,0.002206561121044774,0.002778605014603386,0.004115649921979332,0.002663763741474719
or,0.0027177700348432056,0.002030594854429811,0.002736939600175951,0.001730348110809889,0.002084537023696388
if,0.0027068815331010455,0.0021604747178837124,0.0022472002207583924,0.001314834144212149,0.0022841616420931914
because,0.00195993031358885,0.0031734445489793725,0.0018749436492345858,0.0,0.001813115458707296
then,0.0016441637630662022,0.0016805243980952816,0.0017110141498479553,0.0009357780794629153,0.0013905807257215956
when,0.0015744773519163764,0.0025263728278291115,0.0020457035444289926,0.0017895448287801254,0.0020236551534441433
also,0.0009516550522648084,0.0006331061444347875,0.0008387726051949259,0.0008167782750925299,0.0008838786262915568
still,0.0005770905923344948,0.0007113133740414378,0.0005853649207264262,0.0006942918522501461,0.00038639370243755486
next,0.0005444250871080139,0.0,0.0,0.0,0.0
before,0.00043118466898954707,0.0005255712037256434,0.00045763651912101005,0.0007750904455360255,0.0004218070612296974
after,0.0,0.00045481228170057896,0.0007322184305936161,0.0014347435012274034,0.0004620715650618594
while,0.0,0.0,0.0,0.0006564696214343358,0.0
