,News,Discussion,Science/Education,Documentary
and,8.91,17.93,10.68,13.8
for,4.52,8.7,4.92,6.76
with,2.84,6.02,3.1,4.3
or,2.61,3.46,2.53,2.0
as,2.28,3.32,1.95,3.64
so,1.61,3.56,1.2,0.73
but,0.98,2.29,1.0,1.24
next,0.7,0.74,0.64,0.93
then,0.7,1.26,0.64,0.0
if,0.55,0.71,0.0,0.0
yet,0.41,0.0,0.36,0.52
before,0.37,0.0,0.0,0.63
when,0.36,1.26,0.49,0.71
because,0.32,1.34,0.0,0.0
also,0.29,0.0,0.0,0.0
though,0.0,0.89,0.49,0.93
else,0.0,0.87,0.0,0.0
still,0.0,0.72,0.36,0.0
later,0.0,0.0,0.54,0.91
after,0.0,0.0,0.52,1.01
instead,0.0,0.0,0.0,0.49
