,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,22.48,2.8,5.65,8.82,19.69,16.83,31.3,2.85,11.62,14.47
so,6.13,1.5,5.66,5.62,7.62,11.79,11.75,4.17,4.12,0.05
for,3.3,0.01,1.91,3.91,3.29,1.39,7.22,1.9,3.92,5.83
with,2.95,0.72,0.08,2.96,3.67,3.02,5.91,0.64,2.24,2.89
but,6.83,0.12,1.27,1.84,6.71,5.56,8.67,1.15,1.96,3.11
if,1.28,0.66,0.69,1.76,1.94,1.96,3.04,0.03,1.1,1.08
as,2.24,0.43,2.86,1.01,1.81,0.62,3.25,2.43,1.44,3.87
or,1.73,0.45,0.4,1.24,1.27,1.33,2.97,0.06,1.7,1.64
because,4.39,0.06,1.49,0.74,4.33,5.89,5.13,1.55,0.8,0.75
then,2.07,0.14,0.44,0.81,1.93,2.51,2.88,0.58,0.95,0.37
also,0.22,0.39,0.01,0.88,0.61,0.22,1.1,0.38,0.49,0.87
when,4.05,0.97,1.08,0.0,3.08,2.97,4.05,0.11,0.98,1.09
before,0.45,0.04,0.25,0.48,0.49,0.2,0.93,0.29,0.44,0.73
after,0.52,0.11,0.83,0.22,0.41,0.31,0.74,0.72,0.33,1.05
as well,0.43,0.43,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0
still,1.29,0.4,0.61,0.17,0.89,0.67,1.11,0.22,0.22,0.44
while,0.0,0.0,0.69,0.0,0.0,0.69,0.0,0.69,0.0,0.69
