,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,18.48,2.17,6.51,9.97,16.31,11.97,28.46,4.34,12.14,16.49
for,3.64,0.69,1.47,4.86,2.95,2.17,8.51,0.78,5.55,6.34
so,5.77,0.41,4.5,4.26,5.37,10.27,10.03,4.9,4.66,0.24
but,5.15,0.19,0.33,2.91,5.34,4.82,8.06,0.53,2.71,3.24
with,3.34,0.26,2.05,2.22,3.08,1.28,5.56,1.79,2.48,4.27
if,1.48,0.39,1.18,2.36,1.86,2.66,3.83,0.8,1.97,1.17
as,2.41,0.46,2.81,1.26,1.95,0.4,3.67,2.35,1.72,4.07
or,2.39,0.58,0.79,1.27,1.8,1.6,3.65,0.2,1.85,2.05
because,4.39,0.37,1.84,0.97,4.76,6.23,5.36,1.47,0.6,0.87
when,2.68,0.41,0.31,0.5,2.27,2.37,3.19,0.1,0.91,0.82
then,1.36,0.24,0.31,0.76,1.6,1.67,2.11,0.07,0.52,0.45
next,0.5,0.5,0.58,0.84,0.0,0.07,1.34,0.07,1.35,1.42
also,0.5,0.13,0.0,0.56,0.37,0.5,1.06,0.13,0.69,0.56
still,0.86,0.01,0.37,0.39,0.84,0.49,1.25,0.35,0.4,0.75
once,0.49,0.49,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0
before,0.86,0.0,0.75,0.19,0.86,0.11,0.68,0.75,0.19,0.56
after,0.0,0.55,1.51,0.0,0.55,1.51,0.0,0.96,0.55,1.51
