,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,108.72,9.73,17.89,39.32,99.0,90.83,148.04,8.16,49.05,57.21
so,33.45,0.08,22.0,21.84,33.54,55.45,55.29,21.91,21.76,0.16
for,17.24,1.23,9.16,15.01,18.47,8.08,32.24,10.39,13.78,24.17
but,29.49,0.57,5.32,12.84,30.06,24.18,42.33,5.89,12.27,18.15
with,17.51,1.41,10.25,9.51,16.1,7.26,27.02,8.84,10.92,19.76
as,8.26,0.64,11.7,7.75,7.61,3.44,16.01,11.06,8.39,19.45
or,6.96,0.86,2.36,8.53,6.1,9.32,15.49,3.22,9.39,6.17
if,8.28,1.55,4.83,8.07,9.83,13.11,16.35,3.28,6.52,3.23
because,21.71,0.12,9.28,5.51,21.59,30.99,27.22,9.4,5.63,3.77
then,8.63,0.8,2.1,4.89,7.83,10.73,13.52,2.9,5.69,2.79
when,17.21,2.8,3.41,3.25,14.41,13.8,20.46,0.61,6.05,6.66
also,1.68,0.3,0.45,2.67,1.98,1.22,4.34,0.75,2.37,3.12
still,4.21,0.2,1.48,1.93,4.01,2.73,6.14,1.28,2.13,3.41
next,2.58,2.58,2.58,2.58,0.0,0.0,0.0,0.0,0.0,0.0
before,3.09,0.25,2.66,1.16,2.84,0.43,4.25,2.41,1.42,3.83
after,4.44,3.67,8.71,0.96,0.77,4.27,3.48,5.04,2.71,7.75
while,0.0,0.0,3.99,0.0,0.0,3.99,0.0,3.99,0.0,3.99
