,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
so,21.8,0.6,23.45,21.2,45.25,24.05
and,22.11,1.45,1.6,20.66,23.71,3.06
but,10.64,0.9,0.19,11.54,10.44,1.1
if,2.48,0.49,2.68,2.97,5.16,2.19
for,2.13,0.14,1.66,1.99,0.47,1.52
when,5.53,1.22,0.74,4.31,4.79,0.48
then,2.61,0.2,0.28,2.41,2.89,0.48
with,2.12,0.56,1.58,1.56,0.54,1.02
also,0.33,0.11,0.82,0.44,0.49,0.93
as,2.12,0.73,2.47,1.39,0.35,1.74
because,4.9,0.01,1.78,4.91,6.68,1.77
or,0.64,0.13,0.19,0.51,0.45,0.06
once,0.88,0.88,0.48,0.0,1.35,1.35
anyway,0.14,0.86,0.86,1.0,1.0,0.0
still,1.39,0.06,0.48,1.33,0.91,0.42
before,0.93,0.0,0.0,0.93,0.93,0.0
in fact,0.0,0.88,0.0,0.88,0.0,0.88
next,0.0,0.77,0.0,0.77,0.0,0.77
however,0.0,0.0,2.34,0.0,2.34,2.34
after,0.0,0.0,1.95,0.0,1.95,1.95
