,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
so,0.0011577114951195587,0.00024718442041073846,0.005312260309422896,0.0009105270747088202,0.0041545488143033375,0.005065075889012158
and,6.693795300910434e-05,5.20612470977606e-05,0.0012033480430888878,1.487670591134374e-05,0.0012702859960979922,0.0012554092901866484
but,0.00012144622340660408,0.00028445797958110515,0.0003819285630272259,0.0004059042029877092,0.00050337478643383,9.747058344612074e-05
if,0.0005598111716075421,0.0001867980869884368,0.0007894926489742643,0.0003730130846191053,0.00022968147736672224,0.0006026945619858275
for,0.0001956033222244929,1.6709831515602418e-05,9.650670958037113e-05,0.00017889349070889047,0.000292110031804864,0.00011321654109597355
when,0.000300405736052939,0.00021405432927288596,7.787340866254478e-06,8.635140678005303e-05,0.0002926183951866845,0.00020626698840663148
then,1.5423943418113682e-06,1.1874613362708323e-05,0.00015964614184341505,1.0332219020896954e-05,0.00016118853618522642,0.00017152075520612337
with,4.343141077792136e-05,8.287059821329983e-05,0.0001489692589859258,0.0001263020089912212,0.00019240066976384715,6.609866077262596e-05
also,0.00021936601357006703,4.886759082096471e-05,2.658791304474843e-05,0.00017049842274910232,0.00024595392661481546,7.545550386571314e-05
as,2.8621363739928798e-05,0.00011801109855069284,0.00030166068770140383,0.00014663246229062164,0.00033028205144133263,0.000183649589150711
because,0.00030757109877944385,2.361069701671255e-05,0.00037674216027874563,0.0003311817957961564,0.0006843132590581895,0.0003531314632620331
or,5.8775683703258565e-05,1.3049024954096627e-05,2.1234018348919464e-05,7.182470865735519e-05,3.75416653543391e-05,3.428304330301609e-05
once,0.00018510452961672475,0.00018510452961672475,3.803905259118246e-05,0.0,0.0002231435822079072,0.0002231435822079072
anyway,7.880041889690588e-05,0.00018074912891986064,0.00018074912891986064,0.00010194871002295476,0.00010194871002295476,0.0
still,5.8259624419771435e-05,3.334131577336773e-06,4.2686147930466654e-05,5.492549284243466e-05,1.557347648930478e-05,3.935201635312988e-05
before,9.496592166521813e-05,0.0,0.0,9.496592166521813e-05,9.496592166521813e-05,0.0
in fact,0.0,0.0001748581326790725,0.0,0.0001748581326790725,0.0,0.0001748581326790725
next,0.0,0.00015368390567496607,0.0,0.00015368390567496607,0.0,0.00015368390567496607
however,0.0,0.0,0.0003847407687796661,0.0,0.0003847407687796661,0.0003847407687796661
after,0.0,0.0,0.0003211478796925621,0.0,0.0003211478796925621,0.0003211478796925621
