,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
and,9.02,1.78,4.89,7.24,4.13,3.12
for,4.18,0.41,2.24,3.77,1.94,1.84
with,3.19,0.27,1.47,2.92,1.72,1.2
or,0.85,0.07,0.61,0.92,1.46,0.54
as,1.04,0.33,1.36,1.37,0.32,1.69
so,1.95,0.41,0.88,2.36,2.83,0.47
but,1.31,0.02,0.26,1.29,1.05,0.24
next,0.04,0.06,0.23,0.1,0.19,0.29
then,0.56,0.06,0.7,0.62,1.26,0.64
if,0.16,0.55,0.55,0.71,0.71,0.0
yet,0.41,0.05,0.11,0.36,0.52,0.16
before,0.37,0.37,0.25,0.0,0.63,0.63
when,0.9,0.13,0.34,0.77,0.56,0.22
because,1.02,0.32,0.32,1.34,1.34,0.0
also,0.29,0.29,0.29,0.0,0.0,0.0
though,0.89,0.49,0.93,0.4,0.04,0.44
else,0.87,0.0,0.0,0.87,0.87,0.0
still,0.72,0.36,0.0,0.37,0.72,0.36
later,0.0,0.54,0.91,0.54,0.91,0.36
after,0.0,0.52,1.01,0.52,1.01,0.48
instead,0.0,0.0,0.49,0.0,0.49,0.49
