,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
and,4.5525282184412375e-05,0.00024955039098089986,0.0003915905505902802,0.00029507567316531223,0.0004371158327746926,0.00014204015960938036
for,6.329447738989593e-05,2.7695124964209335e-05,0.00015961127681412255,9.098960235410527e-05,0.0002229057542040185,0.00013191615184991322
with,1.794537578125345e-05,1.996626436571471e-05,0.00010974971058802052,2.0208885844612582e-06,9.180433480676707e-05,8.978344622230581e-05
or,0.00019669805880413862,4.5508898377866224e-05,0.00022185172281814265,0.0001511891604262724,2.5153664014004027e-05,0.00017634282444027642
as,0.0001414427435936351,9.193921596023697e-05,0.00011797182385783175,4.950352763339813e-05,0.00025941456745146686,0.00020991103981806873
so,2.478029791845121e-05,9.997436150245367e-05,0.0002198118973401462,0.00012475465942090488,0.00024459219525859745,0.00011983753583769255
but,2.7740155718905356e-05,8.11701509475588e-06,3.2933327578256314e-06,3.5857170813661236e-05,3.103348847673099e-05,4.823682336930248e-06
next,7.220399020597512e-05,2.0355222087963556e-05,5.706569343251922e-06,5.184876811801156e-05,7.791055954922704e-05,2.606179143121548e-05
then,1.8669279463327636e-05,2.0355222087963556e-05,0.0001480836236933798,1.6859426246359208e-06,0.00012941434423005216,0.00012772840160541623
if,4.279711954643803e-05,0.00011541811846689895,0.00011541811846689895,7.262099892046092e-05,7.262099892046092e-05,0.0
yet,8.710801393728223e-05,1.470581837485378e-05,8.521047821876581e-07,7.240219556242845e-05,8.625590915509457e-05,1.3853713592666122e-05
before,7.839721254355401e-05,7.839721254355401e-05,2.4685420541620514e-05,0.0,0.00010308263308517452,0.00010308263308517452
when,5.3194832034930204e-05,2.145514785607869e-05,3.990004213317758e-05,3.1739684178851515e-05,1.329478990175262e-05,1.8444894277098894e-05
because,6.935394101024416e-05,6.750871080139373e-05,6.750871080139373e-05,0.00013686265181163789,0.00013686265181163789,0.0
also,6.097560975609756e-05,6.097560975609756e-05,6.097560975609756e-05,0.0,0.0,0.0
though,9.124176787442526e-05,9.767466005120064e-05,0.00015303223249924072,6.4328921767753785e-06,6.179046462481546e-05,5.535757244804008e-05
else,8.891417175517972e-05,0.0,0.0,8.891417175517972e-05,8.891417175517972e-05,0.0
still,7.401755659200825e-05,7.10361164008732e-05,0.0,2.9814401911350524e-06,7.401755659200825e-05,7.10361164008732e-05
later,0.0,0.00010860329334364267,0.00014969720613472036,0.00010860329334364267,0.00014969720613472036,4.109391279107769e-05
after,0.0,0.00010450505585897691,0.00016584176558114843,0.00010450505585897691,0.00016584176558114843,6.133670972217152e-05
instead,0.0,0.0,8.057120512466215e-05,0.0,8.057120512466215e-05,8.057120512466215e-05
