,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
and,118.56,11.46,26.76,107.1,91.8,15.3
for,17.87,1.08,8.64,18.95,9.23,9.72
with,18.49,0.13,9.18,18.36,9.31,9.05
but,29.52,0.24,6.47,29.28,23.05,6.23
so,21.61,1.37,7.83,22.98,29.43,6.46
or,9.58,1.84,0.76,7.74,10.34,2.6
as,9.75,1.14,13.54,8.61,3.79,12.4
if,8.4,1.87,3.86,10.27,12.25,1.98
because,24.58,0.18,10.51,24.76,35.08,10.32
then,8.87,0.55,2.29,8.33,11.17,2.84
when,17.51,2.84,3.73,14.67,13.79,0.89
also,1.95,0.38,0.33,2.33,2.28,0.05
next,2.81,2.81,2.81,0.0,0.0,0.0
still,4.07,0.02,1.32,4.05,2.74,1.31
before,3.24,0.2,2.63,3.04,0.61,2.43
after,4.68,3.49,8.53,1.19,3.85,5.04
while,0.0,0.0,4.07,0.0,4.07,4.07
