,News,Discussion,Science/Education,Documentary,Presentation
and,125.2,274.89,139.89,155.25,67.08
so,46.6,91.95,45.42,14.44,14.88
for,36.86,61.04,36.32,49.4,13.07
but,29.4,70.87,28.76,36.32,11.82
with,25.89,49.68,26.84,38.12,11.19
if,18.93,29.96,16.34,12.23,6.74
as,18.06,30.97,19.6,35.43,8.04
or,17.29,28.36,19.18,16.12,6.25
because,12.61,43.1,12.42,0.0,5.39
then,10.36,22.41,11.05,7.51,3.9
when,9.78,33.73,13.97,14.59,6.03
also,6.7,9.1,6.14,7.15,2.59
next,4.04,0.0,3.76,5.4,0.0
still,3.68,9.69,3.94,5.79,1.19
before,3.23,7.15,0.0,6.41,1.29
after,0.0,6.18,4.77,11.49,1.34
