,News,Discussion,Science/Education,Documentary,Presentation
and,30.59,33.01,32.34,32.21,37.86
so,11.39,11.04,10.5,3.0,8.4
for,9.01,7.33,8.4,10.25,7.38
but,7.18,8.51,6.65,7.54,6.67
with,6.33,5.97,6.2,7.91,6.32
if,4.63,3.6,3.78,2.54,3.8
as,4.41,3.72,4.53,7.35,4.54
or,4.22,3.41,4.44,3.34,3.52
because,3.08,5.18,2.87,0.0,3.04
then,2.53,2.69,2.55,1.56,2.2
when,2.39,4.05,3.23,3.03,3.4
also,1.64,1.09,1.42,1.48,1.46
next,0.99,0.0,0.87,1.12,0.0
still,0.9,1.16,0.91,1.2,0.67
before,0.79,0.86,0.0,1.33,0.73
after,0.0,0.74,1.1,2.38,0.75
