,News,Discussion,Science/Education,Documentary,Presentation
and,2.64,2.82,2.79,2.56,3.23
so,0.98,0.94,0.91,0.24,0.72
for,0.78,0.63,0.72,0.81,0.63
but,0.62,0.73,0.57,0.6,0.57
with,0.55,0.51,0.54,0.63,0.54
if,0.4,0.31,0.33,0.2,0.32
as,0.38,0.32,0.39,0.58,0.39
or,0.37,0.29,0.38,0.27,0.3
because,0.27,0.44,0.25,0.0,0.26
then,0.22,0.23,0.22,0.12,0.19
when,0.21,0.35,0.28,0.24,0.29
also,0.14,0.09,0.12,0.12,0.12
next,0.09,0.0,0.07,0.09,0.0
still,0.08,0.1,0.08,0.1,0.06
before,0.07,0.07,0.0,0.11,0.06
after,0.0,0.06,0.1,0.19,0.06
