,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,149.69,14.69,30.05,58.11,135.0,119.64,207.8,15.36,72.81,88.17
so,45.36,1.17,32.16,31.71,46.53,77.52,77.07,30.99,30.54,0.45
for,24.18,0.53,12.54,23.79,24.71,11.64,47.97,13.08,23.25,36.33
but,41.47,0.65,6.92,17.58,42.12,34.55,59.05,7.56,16.94,24.5
with,23.8,0.95,12.23,14.69,22.84,11.57,38.49,11.28,15.65,26.92
if,11.04,2.59,6.7,12.19,13.63,17.74,23.22,4.11,9.59,5.49
as,12.91,1.53,17.37,10.02,11.37,4.46,22.92,15.83,11.55,27.38
or,11.07,1.9,1.17,11.04,9.18,12.25,22.12,3.07,12.94,9.87
because,30.49,0.19,12.61,7.22,30.68,43.1,37.71,12.42,7.03,5.39
then,12.05,0.69,2.85,6.46,11.36,14.9,18.51,3.54,7.15,3.61
when,23.94,4.19,4.81,3.76,19.76,19.14,27.7,0.62,7.94,8.56
also,2.39,0.56,0.45,4.11,2.95,1.95,6.5,1.0,3.55,4.55
next,4.04,0.28,1.36,4.04,3.76,5.4,0.0,1.64,3.76,5.4
still,6.01,0.26,2.11,2.49,5.74,3.89,8.5,1.85,2.75,4.6
before,3.92,3.23,3.19,1.94,7.15,0.74,5.86,6.41,1.29,5.13
after,6.18,4.77,11.49,1.34,1.4,5.31,4.84,6.71,3.44,10.15
