,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,2.42,1.75,1.62,7.26,0.67,0.8,4.84,0.13,5.52,5.64
so,0.34,0.89,8.39,2.99,0.54,8.05,2.64,7.51,2.1,5.4
for,1.68,0.61,1.24,1.63,1.07,2.92,0.05,1.85,1.02,2.87
but,1.33,0.54,0.35,0.52,1.86,0.98,1.84,0.89,0.02,0.87
with,0.36,0.12,1.58,0.01,0.24,1.94,0.35,1.7,0.11,1.59
if,1.03,0.85,2.09,0.82,0.18,1.06,0.21,1.24,0.03,1.27
as,0.69,0.12,2.94,0.13,0.81,3.63,0.82,2.82,0.01,2.81
or,0.82,0.21,0.88,0.7,1.03,0.06,0.12,1.09,0.91,0.18
because,2.1,0.21,3.08,0.04,2.3,5.18,2.13,2.87,0.17,3.04
then,0.16,0.02,0.97,0.33,0.14,1.13,0.49,1.0,0.35,0.64
when,1.66,0.84,0.64,1.01,0.82,1.02,0.65,0.2,0.17,0.37
also,0.55,0.22,0.15,0.17,0.33,0.39,0.37,0.06,0.04,0.02
next,0.99,0.12,0.13,0.99,0.87,1.12,0.0,0.25,0.87,1.12
still,0.26,0.01,0.3,0.23,0.25,0.04,0.49,0.29,0.24,0.53
before,0.07,0.79,0.54,0.06,0.86,0.47,0.13,1.33,0.73,0.6
after,0.74,1.1,2.38,0.75,0.36,1.64,0.01,1.28,0.35,1.63
