Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",0.2304507534123805,1.7356064515992335,0.08506678030066019,no,no
"News, Science/Education",-0.34031270487447735,-2.7468596716574596,0.006822009519424838,no,yes
"News, Documentary",-0.33013866843993644,-2.716178877213283,0.007786702382476139,no,yes
"News, Presentation",-0.018430466022366476,-0.17816853961840914,0.8589311937761122,no,no
"Discussion, Science/Education",-0.7116814005630298,-8.132495251416856,3.2203667811670492e-15,yes,yes
"Discussion, Documentary",-0.7528295557850926,-11.070173863647907,8.353185609332895e-24,yes,yes
"Discussion, Presentation",-0.25085865644166944,-4.528740014009192,7.95524456113752e-06,yes,yes
"Science/Education, Documentary",0.03866217391895323,0.5796887375464982,0.5625014962041903,no,no
"Science/Education, Presentation",0.31744057551621024,5.601018881565538,3.733918582603983e-08,yes,yes
"Documentary, Presentation",0.30565995345867936,9.749901423266891,3.6477980604204556e-22,yes,yes
