Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-1.1479997040832721,-10.478854844630492,5.079118934417818e-22,yes,yes
"News, Science/Education",-0.03161121950148366,-0.25202632385122403,0.8014102637488787,no,no
"News, Documentary",-0.24277274387144146,-2.1121576918759373,0.03713362971514897,no,no
"News, Presentation",1.1481829652717828,8.43489695984795,3.1430521943524736e-13,yes,yes
"Discussion, Science/Education",1.1983533643853366,12.818555216803267,6.410925456723949e-30,yes,yes
"Discussion, Documentary",1.0474958527438953,11.93056730406887,8.109143691903363e-26,yes,yes
"Discussion, Presentation",1.9941294350482452,21.284204642834606,2.0207485318072108e-55,yes,yes
"Science/Education, Documentary",-0.24959982254687585,-4.076142407617913,5.57314710480479e-05,yes,yes
"Science/Education, Presentation",1.5328683694898886,20.112269194650338,3.7930508675318714e-58,yes,yes
"Documentary, Presentation",1.7914015764305034,58.58658895890712,0.0,yes,yes
