Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-1.0881077484484418,-9.789654523679928,1.2279242752254167e-19,yes,yes
"News, Science/Education",-0.1322400113569944,-1.071546479934002,0.2857768937813308,no,no
"News, Documentary",-0.34596030796013244,-3.01020392157219,0.003295793478522958,yes,yes
"News, Presentation",1.2756096238413746,9.360998460928382,3.1897611613636815e-15,yes,yes
"Discussion, Science/Education",1.0525321671785226,11.325362979164066,5.04114165083233e-25,yes,yes
"Discussion, Documentary",0.9075787635926933,10.466076131275734,3.2637877893103848e-21,yes,yes
"Discussion, Presentation",2.0846257813266873,22.304868080495297,1.5920528918014226e-58,yes,yes
"Science/Education, Documentary",-0.24055929618367755,-3.813168292775603,0.00016081137663221065,yes,yes
"Science/Education, Presentation",1.7410815372478565,22.567736142774926,3.8629391132563347e-67,yes,yes
"Documentary, Presentation",2.105265794548656,68.86108682822662,0.0,yes,yes
