Data,Effectsize,T-Statistic,P-Value
"News, Discussion",-1.1192180524658741,-1.3707565697264619,0.2946424199176575
"News, Science/Education",-0.9749147212766867,-1.1940218049277822,0.3376639024268428
"News, Documentary",-1.43181688889828,-1.7536103914500292,0.22123644950746416
"News, Presentation",1.498313656226752,1.8350519661996947,0.2079243848232112
"Discussion, Science/Education",0.37562748370026616,0.4600478342156287,0.6724960514943307
"Discussion, Documentary",-1.2096738575803334,-1.4815418531279927,0.2695095549735723
"Discussion, Presentation",1.459376924808061,1.7873644040859018,0.2157868880010137
"Science/Education, Documentary",-1.3002413218131432,-1.5924638904620676,0.24882682442245052
"Science/Education, Presentation",1.4879508869337634,1.8223602176546927,0.2099804918459583
"Documentary, Presentation",1.4891316113371085,1.8238063038122165,0.2097451901570332
