Data,and,so,for,but,with,if,as,or,because,then,when,also,next,still,before,after
"Δ (News, Discussion)",149.69048734770382,45.35660731021556,24.180693533270855,41.47066541705718,23.79522024367385,11.035801312089973,12.906326148078726,11.074976569821931,30.491752577319588,12.048266166822868,23.94376757263355,2.394423617619494,4.041237113402062,6.005951265229616,3.92319587628866,6.177272727272728
"Δ (News, Science/Education)",14.694534670244323,1.1732806100833173,0.533752294873608,0.6452125406016087,0.9524431577460817,2.5922186131902265,1.5340347408558124,1.8962717130348814,0.18701454596808276,0.6905451207456572,4.185672927552606,0.5571953113966952,0.28096314079932183,0.2613684507837877,3.2268041237113403,4.773972602739726
"Δ (News, Documentary)",30.052628083176373,32.158913754085994,12.543317471688624,6.919153054592211,12.228450382150196,6.699579184082056,17.36750466123607,1.1736114735199088,12.608247422680412,2.8541519396909596,4.80692282511232,0.44761150198547295,1.3614320076287711,2.111580265773481,3.185529056224232,11.487804878048781
"Δ (News, Presentation)",58.11317331336983,31.71341973787503,23.786078575104888,17.583604972160266,14.693456233656182,12.186029706110183,10.01747846384994,11.042568013683319,7.217929722226554,6.461682029207023,3.755265114296261,4.106477221329756,4.041237113402062,2.49332210386221,1.9403694288046334,1.3358547655068078
"Δ (Discussion, Science/Education)",134.9959526774595,46.529887920298876,24.714445828144463,42.11587795765878,22.842777085927768,13.6280199252802,11.372291407222914,9.17870485678705,30.67876712328767,11.357721046077211,19.758094645080945,2.951618929016189,3.76027397260274,5.7445828144458275,7.15,1.4033001245330015
"Δ (Discussion, Documentary)",119.63785926452746,77.51552106430155,11.63737606158223,34.55151236246496,11.566769861523653,17.735380496172027,4.461178513157343,12.24858804334184,43.1,14.902418106513828,19.13684474752123,1.946812115634021,5.402669121030833,3.894370999456134,0.7376668200644279,5.310532150776053
"Δ (Discussion, Presentation)",207.80366066107365,77.0700270480906,47.96677210837574,59.05427038921744,38.48867647733003,23.221831018200156,22.923804611928666,22.11754458350525,37.709682299546145,18.509948196029892,27.69903268692981,6.500900838949251,0.0,8.499273369091824,5.863565305093293,4.84141796176592
"Δ (Science/Education, Documentary)",15.35809341293205,30.985633144002676,13.077069766562232,7.56436559519382,11.276007224404115,4.10736057089183,15.833469920380256,3.06988318655479,12.42123287671233,3.544697060436617,0.6212498975597143,1.0048068133821682,1.642395148428093,1.8502118149896933,6.4123331799355725,6.713832275309055
"Δ (Science/Education, Presentation)",72.80770798361415,30.54013912779171,23.25232628023128,16.93839243155866,15.645899391402263,9.593811092919957,11.551513204705753,12.9388397267182,7.030915176258471,7.15222714995268,7.940938041848867,3.5492819099330615,3.76027397260274,2.7546905546459977,1.286434694906707,3.4381178372329186
"Δ (Documentary, Presentation)",88.1658013965462,0.4454940162109633,36.32939604679351,24.50275802675248,26.92190661580638,5.486450522028128,27.38498312508601,9.86895654016341,5.390317700453858,3.6075300895160636,8.562187939408581,4.55408872331523,5.402669121030833,4.604902369635691,5.125898485028865,10.151950112541973
