Data,and,so,for,with,but,if,as,or,because,then,also,when,before,after,as well,still,while
"Δ (News, Discussion)",22.483364573570757,6.128444236176195,3.3022024367385194,2.9465323336457354,6.826897844423618,1.2781162136832238,2.244376757263355,1.7268509840674788,4.391518275538894,2.0667760074976567,0.21743205248359887,4.048781630740394,0.45351452671040304,0.5203373945641987,0.4329896907216495,1.2863636363636364,0.0
"Δ (News, Science/Education)",2.7981217342183307,1.4950925010591725,0.007308289789578204,0.7216494845360826,0.11774466883208579,0.6596172856941112,0.43397825165937043,0.45480864284705547,0.05652450218895644,0.1358918231888151,0.3877983335687051,0.9725674339782517,0.03664736619121589,0.10807089394153369,0.4329896907216495,0.3972602739726027,0.0
"Δ (News, Documentary)",5.648417077440566,5.664111091606928,1.9122074570288596,0.07737889088674965,1.2709969114863298,0.6860200871995104,2.862008435295402,0.39731285077877,1.4948453608247423,0.4410786550969964,0.005175988348095961,1.0831099577286376,0.25433032389067334,0.8259141004170205,0.4329896907216495,0.6134376438104003,0.6948918545789231
"Δ (News, Presentation)",8.820364853834917,5.616934666313146,3.912878019869925,2.9626984003202477,1.8404427322966868,1.7635676445664437,1.0070444135980576,1.2447920728252,0.7429542866946364,0.8122754755629032,0.8785657469937771,0.004257841134176488,0.47763203726520786,0.22090865137171106,0.4329896907216495,0.17498739283913262,0.0
"Δ (Discussion, Science/Education)",19.685242839352426,7.6235367372353675,3.2948941469489412,3.668181818181818,6.709153175591531,1.937733499377335,1.8103985056039846,1.2720423412204234,4.334993773349938,1.9308841843088418,0.605230386052304,3.0762141967621424,0.49016189290161893,0.412266500622665,0.0,0.8891033623910336,0.0
"Δ (Discussion, Documentary)",16.83494749613019,11.792555327783123,1.3899949797096598,3.023911224532485,5.555900932937288,1.9641363008827342,0.6176316780320468,1.3295381332887088,5.886363636363637,2.5078546625946534,0.22260804083169483,2.9656716730117565,0.1991842028197297,0.3055767058528218,0.0,0.672925992553236,0.6948918545789231
"Δ (Discussion, Presentation)",31.303729427405674,11.74537890248934,7.215080456608444,5.909230733965983,8.667340576720305,3.0416838582496677,3.2514211708614127,2.971643056892679,5.1344725622335305,2.87905148306056,1.095997799477376,4.053039471874571,0.9311465639756109,0.7412460459359098,0.0,1.1113762435245038,0.0
"Δ (Science/Education, Documentary)",2.8502953432222355,4.169018590547756,1.9048991672392814,0.6442705936493329,1.153252242654244,0.026402801505399198,2.4280301836360314,0.05749579206828548,1.5513698630136987,0.5769704782858115,0.3826223452206091,0.11054252375038587,0.29097769008188923,0.7178432064754868,0.0,0.21617736983779762,0.6948918545789231
"Δ (Science/Education, Presentation)",11.618486588053248,4.121842165253973,3.920186309659503,2.241048915784165,1.9581874011287725,1.1039503588723325,1.441022665257428,1.6996007156722555,0.7994787888835928,0.9481672987517183,0.49076741342507196,0.9768252751124282,0.440984671073992,0.32897954531324475,0.0,0.2222728811334701,0.0
"Δ (Documentary, Presentation)",14.468781931275483,0.0471764252937823,5.825085476898785,2.885319509433498,3.1114396437830165,1.0775475573669333,3.8690528488934595,1.64210492360397,0.7518910741301059,0.37119682046590685,0.8733897586456811,1.087367798862814,0.7319623611558812,1.0468227517887316,0.0,0.4384502509712677,0.6948918545789231
